,Age
0,23.0
1,23.0
2,23.0
3,23.0
4,28.0
5,28.0
6,28.0
7,28.0
8,35.0
9,35.0
10,35.0
11,35.0
12,55.0
13,55.0
14,55.0
15,55.0
16,22.0
17,22.0
18,22.0
19,22.0
20,31.0
21,31.0
22,31.0
23,31.0
24,34.0
25,34.0
26,34.0
27,34.0
28,30.0
29,30.0
30,30.0
31,30.0
32,23.0
33,23.0
34,23.0
35,23.0
36,45.0
37,45.0
38,45.0
39,45.0
40,40.0
41,40.0
42,40.0
43,40.0
44,33.0
45,33.0
46,33.0
47,33.0
48,36.0
49,36.0
50,36.0
51,36.0
52,39.0
53,39.0
54,39.0
55,39.0
56,37.0
57,37.0
58,37.0
59,37.0
60,31.0
61,31.0
62,31.0
63,31.0
64,21.0
65,21.0
66,21.0
67,21.0
68,46.0
69,46.0
70,46.0
71,46.0
72,26.0
73,27.0
74,27.0
75,27.0
76,32.0
77,32.0
78,32.0
79,32.0
80,41.0
81,42.0
82,42.0
83,42.0
84,42.0
85,42.0
86,42.0
87,42.0
88,20.0
89,20.0
90,20.0
91,20.0
92,32.0
93,32.0
94,32.0
95,32.0
96,34.0
97,35.0
98,35.0
99,35.0
100,48.0
101,48.0
102,48.0
103,49.0
104,30.0
105,30.0
106,30.0
107,30.0
108,32.0
109,32.0
110,32.0
111,32.0
112,40.0
113,40.0
114,40.0
115,40.0
116,37.0
117,37.0
118,37.0
119,37.0
120,55.0
121,55.0
122,55.0
123,55.0
124,44.0
125,44.0
126,44.0
127,44.0
128,22.0
129,22.0
130,22.0
131,22.0
132,44.0
133,44.0
134,44.0
135,44.0
136,37.0
137,37.0
138,37.0
139,37.0
140,36.0
141,36.0
142,36.0
143,36.0
144,16.0
145,16.0
146,16.0
147,16.0
148,20.0
149,20.0
150,20.0
151,20.0
152,37.0
153,37.0
154,37.0
155,37.0
156,19.0
157,19.0
158,19.0
159,19.0
160,33.0
161,33.0
162,33.0
163,33.0
164,33.0
165,33.0
166,33.0
167,33.0
168,42.0
169,42.0
170,42.0
171,42.0
172,22.0
173,22.0
174,22.0
175,22.0
176,19.0
177,19.0
178,19.0
179,19.0
180,16.0
181,16.0
182,16.0
183,16.0
184,27.0
185,27.0
186,27.0
187,28.0
188,30.0
189,30.0
190,30.0
191,30.0
192,43.0
193,43.0
194,43.0
195,43.0
196,38.0
197,38.0
198,38.0
199,38.0
200,26.0
201,26.0
202,26.0
203,26.0
204,14.0
205,14.0
206,15.0
207,15.0
208,44.0
209,44.0
210,44.0
211,44.0
212,43.0
213,43.0
214,43.0
215,43.0
216,37.0
217,37.0
218,37.0
219,37.0
220,23.0
221,23.0
222,23.0
223,23.0
224,25.0
225,25.0
226,25.0
227,26.0
228,21.0
229,21.0
230,21.0
231,21.0
232,16.0
233,16.0
234,16.0
235,16.0
236,45.0
237,45.0
238,45.0
239,45.0
240,22.0
241,22.0
242,22.0
243,22.0
244,19.0
245,19.0
246,19.0
247,19.0
248,34.0
249,34.0
250,34.0
251,34.0
252,46.0
253,46.0
254,46.0
255,46.0
256,26.0
257,27.0
258,27.0
259,27.0
260,18.0
261,18.0
262,18.0
263,18.0
264,18.0
265,18.0
266,18.0
267,18.0
268,42.0
269,42.0
270,42.0
271,42.0
272,31.0
273,31.0
274,31.0
275,31.0
276,43.0
277,43.0
278,43.0
279,43.0
280,18.0
281,18.0
282,18.0
283,18.0
284,39.0
285,39.0
286,39.0
287,39.0
288,47.0
289,47.0
290,47.0
291,47.0
292,42.0
293,42.0
294,42.0
295,42.0
296,35.0
297,35.0
298,35.0
299,35.0
300,16.0
301,16.0
302,16.0
303,16.0
304,19.0
305,19.0
306,19.0
307,19.0
308,25.0
309,25.0
310,25.0
311,25.0
312,34.0
313,34.0
314,34.0
315,34.0
316,21.0
317,21.0
318,21.0
319,21.0
320,47.0
321,47.0
322,47.0
323,47.0
324,42.0
325,42.0
326,42.0
327,42.0
328,39.0
329,39.0
330,39.0
331,39.0
332,36.0
333,36.0
334,36.0
335,36.0
336,28.0
337,28.0
338,28.0
339,28.0
340,18.0
341,18.0
342,18.0
343,18.0
344,22.0
345,22.0
346,22.0
347,22.0
348,28.0
349,28.0
350,28.0
351,28.0
352,18.0
353,18.0
354,19.0
355,19.0
356,53.0
357,53.0
358,53.0
359,53.0
360,56.0
361,56.0
362,56.0
363,56.0
364,22.0
365,23.0
366,23.0
367,23.0
368,25.0
369,25.0
370,25.0
371,25.0
372,36.0
373,36.0
374,36.0
375,36.0
376,34.0
377,34.0
378,34.0
379,34.0
380,28.0
381,28.0
382,28.0
383,28.0
384,25.0
385,25.0
386,25.0
387,25.0
388,20.0
389,20.0
390,20.0
391,20.0
392,38.0
393,38.0
394,38.0
395,38.0
396,28.0
397,28.0
398,28.0
399,28.0
