,Amount_invested_monthly
0,236.642682
1,21.46538026
2,148.2339379
3,39.08251089
4,39.68401842
5,251.6273688
6,72.68014533
7,153.5344876
8,168.4137027
9,168.4137027
10,168.4137027
11,168.4137027
12,29.39331143
13,29.39331143
14,29.39331143
15,29.39331143
16,59.36605764
17,113.4526563
18,46.56457517
19,181.0072171
20,56.12102438
21,160.2443127
22,105.7480631
23,130.8739635
24,324.2286393
25,966.0743359
26,1141.220313
27,555.8479877
28,29.32636371
29,29.32636371
30,29.32636371
31,29.32636371
32,212.2356022
33,212.2356022
34,212.2356022
35,212.2356022
36,161.5833767
37,109.4207626
38,88.6144377
39,22.29805714
40,271.2081244
41,139.3030385
42,333.0991662
43,103.1005921
44,77.84134311
45,77.84134311
46,77.84134311
47,77.84134311
48,329.5529934
49,145.3305789
50,252.4438259
51,266.0033003
52,13.06620992
53,13.06620992
54,13.06620992
55,13.06620992
56,19.35620844
57,19.35620844
58,19.35620844
59,19.35620844
60,23.2710222
61,23.2710222
62,23.2710222
63,23.2710222
64,629.4070207
65,124.4803865
66,503.9639512
67,384.3132252
68,35.79356841
69,35.79356841
70,35.79356841
71,35.79356841
72,77.60922834
73,77.60922834
74,77.60922834
75,77.60922834
76,200.4270913
77,191.9040125
78,44.50950985
79,80.38841841
80,43.31582446
81,43.31582446
82,43.31582446
83,43.31582446
84,52.05337931
85,101.7750551
86,50.04937042
87,66.98367928
88,172.0328285
89,172.0328285
90,172.0328285
91,172.0328285
92,63.56542786
93,81.8586722
94,52.80823066
95,19.60099733
96,172.3887516
97,527.1452187
98,191.0433826
99,304.1954062
100,21.74553123
101,21.74553123
102,21.74553123
103,21.74553123
104,50.45037518
105,50.45037518
106,50.45037518
107,50.45037518
108,28.18714604
109,28.18714604
110,28.18714604
111,28.18714604
112,25.9934623
113,25.9934623
114,25.9934623
115,25.9934623
116,159.881232
117,254.3177931
118,115.7067975
119,138.1953607
120,99.29261248
121,48.01465402
122,55.93463362
123,14.29027335
124,97.95764594
125,79.02083026
126,74.30424071
127,58.85942832
128,99.16492466
129,49.91023383
130,125.7199234
131,76.1899187
132,162.7364201
133,234.1986172
134,112.7241835
135,619.9957961
136,56.71137669
137,56.71137669
138,56.71137669
139,56.71137669
140,74.6029088
141,74.6029088
142,74.6029088
143,74.6029088
144,167.2714393
145,31.60260521
146,130.5273591
147,125.2373324
148,82.49686626
149,82.49686626
150,82.49686626
151,82.49686626
152,46.5766728
153,46.5766728
154,46.5766728
155,46.5766728
156,66.68835825
