,Changed_Credit_Limit
0,11.27
1,11.27
2,11.27
3,11.27
4,5.42
5,5.42
6,5.42
7,7.42
8,7.1
9,2.1
10,7.1
11,7.1
12,1.99
13,1.99
14,1.99
15,1.99
16,2.58
17,2.58
18,2.58
19,2.58
20,14.14
21,10.14
22,10.14
23,10.14
24,9.34
25,9.34
26,9.34
27,10.34
28,17.13
29,17.13
30,17.13
31,17.13
32,8.24
33,8.24
34,8.24
35,8.24
36,5.76
37,5.76
38,5.76
39,5.76
40,11.0
41,11.0
42,14.0
43,11.0
44,3.51
45,3.51
46,3.51
47,3.51
48,5.54
49,5.54
50,5.54
51,5.54
52,8.86
53,8.86
54,8.86
55,8.86
56,7.83
57,7.83
58,6.83
59,1.83
60,6.28
61,6.28
62,6.28
63,6.28
64,9.13
65,9.13
66,16.13
67,9.13
68,9.22
69,9.22
70,9.22
71,9.22
72,17.92
73,17.92
74,10.92
75,17.92
76,9.95
77,5.95
78,9.95
79,9.95
80,4.17
81,4.17
82,4.17
83,4.17
84,7.97
85,7.97
86,7.97
87,7.97
88,0.86
89,0.86
90,0.86
91,0.86
92,15.79
93,15.79
94,15.79
95,15.79
96,7.27
97,7.27
98,7.27
99,7.27
100,1.13
101,1.13
102,1.13
103,1.13
104,13.96
105,13.96
106,13.96
107,13.96
108,14.97
109,8.97
110,5.97
111,8.97
112,4.89
113,4.89
114,4.89
115,4.89
116,1.54
117,1.54
118,1.54
119,1.54
120,6.83
121,6.83
122,6.83
123,6.83
124,5.07
125,5.07
126,5.07
127,5.07
128,11.8
129,11.8
130,11.8
131,11.8
132,16.58
133,16.58
134,16.58
135,16.58
136,2.58
137,2.58
138,2.58
139,2.58
140,10.44
141,5.44
142,9.44
143,10.44
144,26.94
145,26.94
146,26.94
147,26.94
148,2.74
149,2.74
150,2.74
151,2.74
152,9.24
153,3.24
154,9.24
155,4.24
156,5.67
157,5.67
158,5.67
159,5.67
160,7.58
161,7.58
162,7.58
163,7.58
164,18.73
165,21.73
166,20.73
167,17.73
168,14.74
169,10.74
170,13.74
171,14.74
172,9.2
173,9.2
174,9.2
175,9.2
176,6.43
177,6.43
178,12.43
179,6.43
180,27.99
181,27.99
182,27.99
183,27.99
184,8.82
185,8.82
186,11.82
187,8.82
188,10.98
189,10.98
190,10.98
191,10.98
192,16.25
193,16.25
194,16.25
195,15.25
196,11.94
197,11.94
198,12.94
199,7.94
200,19.87
201,16.87
202,19.87
203,19.87
204,17.25
205,22.25
206,17.25
207,17.25
208,5.51
209,5.51
210,5.51
211,5.51
212,11.92
213,8.92
214,10.92
215,11.92
216,21.06
217,15.06
218,15.06
219,15.06
220,5.79
221,5.79
222,2.79
223,5.79
224,14.22
225,14.22
226,14.22
227,14.22
228,6.81
229,6.81
230,6.81
231,6.81
232,15.27
233,15.27
234,15.27
235,15.27
236,9.81
237,16.81
238,9.81
239,9.81
240,23.58
241,23.58
242,23.58
243,23.58
244,13.92
245,13.92
246,13.92
247,10.92
248,11.01
249,11.01
250,11.01
251,11.01
252,3.69
253,3.69
254,3.69
255,3.69
256,14.79
257,14.79
258,14.79
259,16.79
260,12.8
261,12.8
262,12.8
263,12.8
264,18.42
265,18.42
266,18.42
267,18.42
268,1.29
269,1.29
270,1.29
271,1.29
272,8.36
273,8.36
274,8.36
275,8.36
276,9.78
277,9.78
278,9.78
279,9.78
280,6.08
281,6.08
282,6.08
283,6.08
284,18.8
285,18.8
286,18.8
287,18.8
288,3.9
289,3.9
290,3.9
291,3.9
292,29.52
293,29.52
294,25.52
295,28.52
296,4.62
297,4.62
298,4.62
299,4.62
300,8.47
301,8.47
302,8.47
303,8.47
304,10.06
305,10.06
306,13.06
307,10.06
308,10.54
309,4.54
310,4.54
311,4.54
312,5.62
313,5.62
314,5.62
315,5.62
316,27.21
317,23.21
318,23.21
319,23.21
320,5.65
321,5.65
322,5.65
323,5.65
324,3.11
325,3.11
326,3.11
327,3.11
328,11.21
329,11.21
330,11.21
331,11.21
332,9.89
333,9.89
334,9.89
335,9.89
336,18.53
337,18.53
338,18.53
339,18.53
340,27.64
341,27.64
342,27.64
343,27.64
344,5.52
345,5.52
346,5.52
347,5.52
348,5.41
349,6.41
350,8.41
351,13.41
352,5.68
353,5.68
354,5.68
355,5.68
356,8.61
357,8.61
358,8.61
359,8.61
360,4.94
361,4.94
362,4.94
363,4.94
364,5.27
365,11.27
366,5.27
367,6.27
368,19.05
369,17.05
370,19.05
371,24.05
372,15.82
373,15.82
374,15.82
375,15.82
376,19.42
377,19.42
378,19.42
379,19.42
380,17.24
381,16.24
382,13.24
383,21.24
384,4.18
385,4.18
386,4.18
387,4.18
388,10.1
389,10.1
390,10.1
391,10.1
392,7.57
393,7.57
394,7.57
395,7.57
396,5.2
397,5.2
398,5.2
399,5.2
400,1.83
401,1.83
402,1.83
403,1.83
404,11.09
405,11.09
406,11.09
407,11.09
408,19.44
409,15.44
410,19.44
411,19.44
412,4.32
413,4.32
414,4.32
415,4.32
416,16.23
417,16.23
418,16.23
419,16.23
420,3.44
421,3.44
422,3.44
423,3.44
424,13.65
425,13.65
426,13.65
427,13.65
428,3.9
429,3.9
430,3.9
431,3.9
432,9.75
433,9.75
434,9.75
435,6.75
436,5.04
437,5.04
438,5.04
439,6.04
440,5.95
441,5.95
442,5.95
443,5.95
444,1.31
445,1.31
446,1.31
447,1.31
448,6.42
449,6.42
450,6.42
451,6.42
452,10.64
453,10.64
454,10.64
455,10.64
456,16.33
457,9.33
458,9.33
459,9.33
460,4.21
461,4.21
462,4.21
463,4.21
464,18.33
465,18.33
466,18.33
467,18.33
468,22.79
469,22.79
470,22.79
471,22.79
472,17.49
473,17.49
474,21.49
475,17.49
476,10.47
477,10.47
478,10.47
479,14.47
480,21.31
481,28.31
482,20.31
483,21.31
484,10.3
485,10.3
486,10.3
487,10.3
488,8.76
489,8.76
490,14.76
491,8.76
492,9.24
493,9.24
494,9.24
495,9.24
496,14.78
497,14.78
498,14.78
499,14.78
500,10.26
501,10.26
502,10.26
503,10.26
504,11.85
505,11.85
506,11.85
507,11.85
508,10.28
509,10.28
510,10.28
511,10.28
512,3.9
513,3.9
514,3.9
515,3.9
516,11.56
517,11.56
518,11.56
519,11.56
520,11.25
521,9.25
522,12.25
523,11.25
524,3.51
525,3.51
526,3.51
527,3.51
528,11.12
529,11.12
530,11.12
531,11.12
532,7.81
533,13.81
534,7.81
535,7.81
536,11.35
537,11.35
538,16.35
539,17.35
540,2.22
541,8.22
542,5.22
543,8.22
544,7.28
545,7.28
546,7.28
547,7.28
548,10.31
549,10.31
550,10.31
551,10.31
552,8.12
553,8.12
554,8.12
555,8.12
556,9.76
557,9.76
558,9.76
559,9.76
560,20.05
561,20.05
562,16.05
563,20.05
564,0.67
565,0.67
566,0.67
567,0.67
568,1.22
569,1.22
570,1.22
571,1.22
572,13.29
573,13.29
574,13.29
575,13.29
576,26.16
577,26.16
578,26.16
579,26.16
580,5.71
581,5.71
582,5.71
583,5.71
584,19.68
585,19.68
586,19.68
587,19.68
588,7.06
589,7.06
590,7.06
591,7.06
592,1.95
593,5.95
594,4.95
595,4.95
596,19.23
597,18.23
598,19.23
599,19.23
600,8.83
601,4.83
602,8.83
603,3.83
604,0.52
605,0.52
606,0.52
607,0.52
608,7.48
609,7.48
610,7.48
611,7.48
612,8.56
613,8.56
614,8.56
615,8.56
616,2.82
617,2.82
618,2.82
619,2.82
620,15.14
621,15.14
622,15.14
623,10.14
624,1.38
625,1.38
626,1.38
627,1.38
628,11.63
629,9.63
630,11.63
631,9.63
632,6.89
633,6.89
634,6.89
635,6.89
636,11.87
637,11.87
638,11.87
639,11.87
640,2.49
641,2.49
642,2.49
643,2.49
644,15.26
645,15.26
646,15.26
647,15.26
648,26.43
649,26.43
650,26.43
651,19.43
652,7.06
653,7.06
654,7.06
655,7.06
656,17.57
657,17.57
658,17.57
659,17.57
660,1.75
661,1.75
662,1.75
663,1.75
664,8.08
665,8.08
666,8.08
667,8.08
668,3.25
669,3.25
670,3.25
671,3.25
672,14.68
673,14.68
674,14.68
675,14.68
676,16.88
677,16.88
678,16.88
679,16.88
680,14.7
681,14.7
682,14.7
683,14.7
684,2.75
685,7.75
686,7.75
687,7.75
688,15.51
689,15.51
690,15.51
691,15.51
692,7.12
693,7.12
694,7.12
695,7.12
696,9.37
697,9.37
698,9.37
699,9.37
700,28.17
701,25.17
702,25.17
703,25.17
704,16.39
705,12.39
706,11.39
707,16.39
708,4.72
709,4.72
710,4.72
711,4.72
712,1.86
713,5.86
714,4.86
715,5.86
716,4.07
717,4.07
718,4.07
719,4.07
720,1.53
721,1.53
722,1.53
723,1.53
724,8.54
725,9.54
726,9.54
727,9.54
728,11.42
729,11.42
730,11.42
731,4.42
732,19.34
733,19.34
734,19.34
735,19.34
736,30.02
737,28.02
738,28.02
739,28.02
740,13.88
741,13.88
742,13.88
743,13.88
744,12.66
745,12.66
746,12.66
747,12.66
748,7.45
749,7.45
750,7.45
751,7.45
752,9.06
753,9.06
754,3.06
755,14.06
756,7.67
757,7.67
758,7.67
759,7.67
760,7.2
761,7.2
762,7.2
763,7.2
764,11.34
765,11.34
766,11.34
767,11.34
768,10.83
769,10.83
770,10.83
771,10.83
772,6.46
773,6.46
774,6.46
775,6.46
776,3.06
777,3.06
778,3.06
779,3.06
780,11.71
781,7.71
782,11.71
783,6.71
784,11.98
785,11.98
786,11.98
787,11.98
788,8.68
789,8.68
790,8.68
791,5.68
792,1.98
793,1.98
794,1.98
795,1.98
796,0.8
797,0.8
798,0.8
799,0.8
800,5.96
801,5.96
802,5.96
803,5.96
804,13.73
805,13.73
806,13.73
807,13.73
808,0.63
809,0.63
810,0.63
811,0.63
812,0.52
813,0.52
814,0.52
815,0.52
816,8.1
817,8.1
818,8.1
819,8.1
820,2.58
821,2.58
822,2.58
823,2.58
824,2.89
825,2.89
826,2.89
827,2.89
828,1.63
829,1.63
830,1.63
831,1.63
832,12.49
833,12.49
834,12.49
835,12.49
836,9.55
837,9.55
838,9.55
839,13.55
840,19.79
841,19.79
842,19.79
843,19.79
844,7.33
845,7.33
846,7.33
847,7.33
848,19.34
849,19.34
850,19.34
851,19.34
852,12.91
853,18.91
854,25.91
855,18.91
856,13.01
857,12.01
858,8.01
859,12.01
860,10.59
861,10.59
862,5.59
863,3.59
864,13.06
865,6.06
866,1.06
867,6.06
868,23.66
869,23.66
870,23.66
871,23.66
872,11.77
873,11.77
874,11.77
875,11.77
876,15.62
877,15.62
878,15.62
879,15.62
880,3.99
881,3.99
882,3.99
883,3.99
