,Credit_Mix
0,Good
1,Good
2,Good
3,Good
4,Good
5,Good
6,Good
7,Good
8,Good
9,Good
10,Good
11,Good
12,Good
13,Good
14,Good
15,Good
16,Standard
17,Standard
18,Standard
19,Standard
20,Good
21,Good
22,Good
23,Good
24,Good
25,Good
26,Good
27,Good
28,Standard
29,Standard
30,Standard
31,Standard
32,Good
33,Good
34,Good
35,Good
36,Good
37,Good
38,Good
39,Good
40,Standard
41,Standard
42,Standard
43,Standard
44,Good
45,Good
46,Good
47,Good
48,Standard
49,Standard
50,Standard
51,Standard
52,Standard
53,Standard
54,Standard
55,Standard
56,Standard
57,Standard
58,Standard
59,Standard
60,Standard
61,Standard
62,Standard
63,Standard
64,Standard
65,Standard
66,Standard
67,Standard
68,Standard
69,Standard
70,Standard
71,Standard
72,Standard
73,Standard
74,Standard
75,Standard
76,Bad
77,Bad
78,Bad
79,Bad
80,Standard
81,Standard
82,Standard
83,Standard
84,Bad
85,Bad
86,Bad
87,Bad
88,Good
89,Good
90,Good
91,Good
92,Standard
93,Standard
94,Standard
95,Standard
96,Bad
97,Bad
98,Bad
99,Bad
100,Standard
101,Standard
102,Standard
103,Standard
104,Standard
105,Standard
106,Standard
107,Standard
108,Standard
109,Standard
110,Standard
111,Standard
112,Standard
113,Standard
114,Standard
115,Standard
116,Bad
117,Bad
118,Bad
119,Bad
120,Good
121,Good
122,Good
123,Good
124,Bad
125,Bad
126,Bad
127,Bad
128,Standard
129,Standard
130,Standard
131,Standard
132,Standard
133,Standard
134,Standard
135,Standard
136,Good
137,Good
138,Good
139,Good
140,Standard
141,Standard
142,Standard
143,Standard
144,Bad
145,Bad
146,Bad
147,Bad
148,Standard
149,Standard
150,Standard
151,Standard
152,Standard
153,Standard
154,Standard
155,Standard
156,Standard
157,Standard
158,Standard
159,Standard
160,Standard
161,Standard
162,Standard
163,Standard
164,Bad
165,Bad
166,Bad
167,Bad
168,Standard
169,Standard
170,Standard
171,Standard
172,Good
173,Good
174,Good
175,Good
176,Good
177,Good
178,Good
179,Good
180,Bad
181,Bad
182,Bad
183,Bad
184,Bad
185,Bad
186,Bad
187,Bad
188,Good
189,Good
190,Good
191,Good
192,Bad
193,Bad
194,Bad
195,Bad
196,Standard
197,Standard
198,Standard
199,Standard
200,Standard
201,Standard
202,Standard
203,Standard
204,Bad
205,Bad
206,Bad
207,Bad
208,Bad
209,Bad
210,Bad
211,Bad
212,Good
213,Good
214,Good
215,Good
216,Standard
217,Standard
218,Standard
219,Standard
220,Standard
221,Standard
222,Standard
223,Standard
224,Standard
225,Standard
226,Standard
227,Standard
228,Bad
229,Bad
230,Bad
231,Bad
232,Bad
233,Bad
234,Bad
235,Bad
236,Bad
237,Bad
238,Bad
239,Bad
240,_
241,_
242,_
243,_
244,Standard
245,Standard
246,Standard
247,Standard
248,Good
249,Good
250,Good
251,Good
252,Good
253,Good
254,Good
255,Good
256,Standard
257,Standard
258,Standard
259,Standard
260,Standard
261,Standard
262,Standard
263,Standard
264,Bad
265,Bad
266,Bad
267,Bad
268,Bad
269,Bad
270,Bad
271,Bad
272,Standard
273,Standard
274,Standard
275,Standard
276,Bad
277,Bad
278,Bad
279,Bad
280,Good
281,Good
282,Good
283,Good
284,Standard
285,Standard
286,Standard
287,Standard
288,Good
289,Good
290,Good
291,Good
292,Bad
293,Bad
294,Bad
295,Bad
296,Good
297,Good
298,Good
299,Good
300,Bad
301,Bad
302,Bad
303,Bad
304,Standard
305,Standard
306,Standard
307,Standard
308,Good
309,Good
310,Good
311,Good
312,Standard
313,Standard
314,Standard
315,Standard
316,Bad
317,Bad
318,Bad
319,Bad
320,Standard
321,Standard
322,Standard
323,Standard
324,Good
325,Good
326,Good
327,Good
328,Standard
329,Standard
330,Standard
331,Standard
332,Standard
333,Standard
334,Standard
335,Standard
336,Standard
337,Standard
338,Standard
339,Standard
340,Bad
341,Bad
342,Bad
343,Bad
344,Bad
345,Bad
346,Bad
347,Bad
348,Good
349,Good
350,Good
351,Good
352,Standard
353,Standard
354,Standard
355,Standard
356,_
357,_
358,_
359,_
360,Standard
361,Standard
362,Standard
363,Standard
364,Good
365,Good
366,Good
367,Good
368,Standard
369,Standard
370,Standard
371,Standard
372,Standard
373,Standard
374,Standard
375,Standard
376,Bad
377,Bad
378,Bad
379,Bad
380,Bad
381,Bad
382,Bad
383,Bad
384,Good
385,Good
386,Good
387,Good
388,Standard
389,Standard
390,Standard
391,Standard
392,Standard
393,Standard
394,Standard
395,Standard
396,Bad
397,Bad
398,Bad
399,Bad
400,Good
401,Good
402,Good
403,Good
404,Standard
405,Standard
406,Standard
407,Standard
408,Standard
409,Standard
410,Standard
411,Standard
412,Standard
413,Standard
414,Standard
415,Standard
416,Bad
417,Bad
418,Bad
419,Bad
420,Bad
421,Bad
422,Bad
423,Bad
424,Standard
425,Standard
426,Standard
427,Standard
428,Good
429,Good
430,Good
431,Good
432,Standard
433,Standard
434,Standard
435,Standard
436,Good
437,Good
438,Good
439,Good
440,Good
441,Good
442,Good
443,Good
444,Good
445,Good
446,Good
447,Good
448,Good
449,Good
450,Good
451,Good
452,Bad
453,Bad
454,Bad
455,Bad
456,Standard
457,Standard
458,Standard
459,Standard
460,Good
461,Good
462,Good
463,Good
464,Standard
465,Standard
466,Standard
467,Standard
468,Bad
469,Bad
470,Bad
471,Bad
472,Bad
473,Bad
474,Bad
475,Bad
476,Good
477,Good
478,Good
479,Good
480,Bad
481,Bad
482,Bad
483,Bad
484,Standard
485,Standard
486,Standard
487,Standard
488,Standard
489,Standard
490,Standard
491,Standard
492,Good
493,Good
494,Good
495,Good
496,Standard
497,Standard
498,Standard
499,Standard
500,Standard
501,Standard
502,Standard
503,Standard
504,Standard
505,Standard
506,Standard
507,Standard
508,Good
509,Good
510,Good
511,Good
512,Standard
513,Standard
514,Standard
515,Standard
516,Good
517,Good
518,Good
519,Good
520,Good
521,Good
522,Good
523,Good
524,Bad
525,Bad
526,Bad
527,Bad
528,Standard
529,Standard
530,Standard
531,Standard
532,Standard
533,Standard
534,Standard
535,Standard
536,Standard
537,Standard
538,Standard
539,Standard
540,Standard
541,Standard
542,Standard
543,Standard
544,Standard
545,Standard
546,Standard
547,Standard
548,Standard
549,Standard
550,Standard
551,Standard
552,Standard
553,Standard
554,Standard
555,Standard
556,Standard
557,Standard
558,Standard
559,Standard
560,Bad
561,Bad
562,Bad
563,Bad
564,Good
565,Good
566,Good
567,Good
568,Good
569,Good
570,Good
571,Good
572,Standard
573,Standard
574,Standard
575,Standard
576,Bad
577,Bad
578,Bad
579,Bad
580,Good
581,Good
582,Good
583,Good
584,Standard
585,Standard
586,Standard
587,Standard
588,Standard
589,Standard
590,Standard
591,Standard
592,Good
593,Good
594,Good
595,Good
596,Standard
597,Standard
598,Standard
599,Standard
600,Standard
601,Standard
602,Standard
603,Standard
604,Standard
605,Standard
606,Standard
607,Standard
608,Good
609,Good
610,Good
611,Good
612,Good
613,Good
614,Good
615,Good
616,Good
617,Good
618,Good
619,Good
620,Standard
621,Standard
622,Standard
623,Standard
624,Good
625,Good
626,Good
627,Good
628,Standard
629,Standard
630,Standard
631,Standard
632,Good
633,Good
634,Good
635,Good
636,Standard
637,Standard
