,Num_of_Loan
0,4.0
1,4.0
2,4.0
3,4.0
4,1.0
5,1.0
6,1.0
7,1.0
8,3.0
9,3.0
10,3.0
11,3.0
12,1.0
13,1.0
14,1.0
15,1.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,2.0
25,2.0
26,2.0
27,2.0
28,3.0
29,3.0
30,3.0
31,3.0
32,3.0
33,3.0
34,3.0
35,3.0
36,2.0
37,2.0
38,2.0
39,2.0
40,3.0
41,3.0
42,3.0
43,3.0
44,2.0
45,2.0
46,2.0
47,2.0
48,3.0
49,3.0
50,3.0
51,3.0
52,7.0
53,7.0
54,7.0
55,7.0
56,5.0
57,5.0
58,5.0
59,5.0
60,2.0
61,2.0
62,2.0
63,2.0
64,0.0
65,0.0
66,0.0
67,0.0
68,6.0
69,6.0
70,6.0
71,6.0
72,0.0
73,0.0
74,0.0
75,0.0
76,5.0
77,5.0
78,5.0
79,5.0
80,0.0
81,0.0
82,0.0
83,0.0
84,5.0
85,5.0
86,5.0
87,5.0
88,0.0
89,0.0
90,0.0
91,0.0
92,3.0
93,3.0
94,3.0
95,3.0
96,8.0
97,8.0
98,8.0
99,8.0
100,3.0
101,3.0
102,3.0
103,3.0
104,7.0
105,7.0
106,7.0
107,7.0
108,1.0
109,1.0
110,1.0
111,1.0
112,3.0
113,3.0
114,3.0
115,3.0
116,6.0
117,6.0
118,6.0
119,6.0
120,2.0
121,2.0
122,2.0
123,2.0
124,6.0
125,6.0
126,6.0
127,6.0
128,2.0
129,2.0
130,2.0
131,2.0
132,6.0
133,6.0
134,6.0
135,6.0
136,3.0
137,3.0
138,3.0
139,3.0
140,1.0
141,1.0
142,1.0
143,1.0
144,5.0
145,5.0
146,5.0
147,5.0
148,4.0
149,4.0
150,4.0
151,4.0
152,4.0
153,4.0
154,4.0
155,4.0
156,2.0
157,2.0
158,2.0
159,2.0
160,0.0
161,0.0
162,0.0
163,0.0
164,6.0
165,6.0
166,6.0
167,6.0
168,4.0
169,4.0
170,4.0
171,4.0
172,3.0
173,3.0
174,3.0
175,3.0
176,0.0
177,0.0
178,0.0
179,0.0
180,8.0
181,8.0
182,8.0
183,8.0
184,9.0
