,Payment_of_Min_Amount
0,No
1,No
2,No
3,No
4,No
5,No
6,No
7,No
8,No
9,No
10,No
11,No
12,No
13,No
14,No
15,No
16,Yes
17,Yes
18,Yes
19,Yes
20,No
21,No
22,No
23,No
24,No
25,No
26,No
27,No
28,Yes
29,Yes
30,Yes
31,Yes
32,No
33,No
34,No
35,No
36,No
37,No
38,No
39,No
40,Yes
41,Yes
42,Yes
43,Yes
44,No
45,No
46,No
47,No
48,Yes
49,Yes
50,Yes
51,Yes
52,Yes
53,Yes
54,Yes
55,Yes
56,Yes
57,Yes
58,Yes
59,Yes
60,Yes
61,Yes
62,Yes
63,Yes
64,Yes
65,Yes
66,Yes
67,Yes
68,Yes
69,Yes
70,Yes
71,Yes
72,Yes
73,Yes
74,Yes
75,Yes
76,Yes
77,Yes
78,Yes
79,Yes
80,No
81,No
82,No
83,No
84,Yes
85,Yes
86,Yes
87,Yes
88,No
89,No
90,No
91,No
92,Yes
93,Yes
94,Yes
95,Yes
96,Yes
97,Yes
98,Yes
99,Yes
100,No
101,No
102,No
103,No
104,Yes
105,Yes
106,Yes
107,Yes
108,Yes
109,Yes
110,Yes
111,Yes
112,Yes
113,Yes
114,Yes
115,Yes
116,Yes
117,Yes
118,Yes
119,Yes
120,No
121,No
122,No
123,No
124,Yes
125,Yes
126,Yes
127,Yes
128,Yes
129,Yes
130,Yes
131,Yes
132,Yes
133,Yes
134,Yes
135,Yes
136,No
137,No
138,No
139,No
140,Yes
141,Yes
142,Yes
143,Yes
144,Yes
145,Yes
146,Yes
147,Yes
148,No
149,No
150,No
151,No
152,Yes
153,Yes
154,Yes
155,Yes
156,No
157,No
158,No
159,No
160,No
161,No
162,No
163,No
164,Yes
165,Yes
166,Yes
167,Yes
168,Yes
169,Yes
170,Yes
171,Yes
172,No
173,No
174,No
175,No
176,No
177,No
178,No
179,No
180,Yes
181,Yes
182,Yes
183,Yes
184,Yes
185,Yes
186,Yes
187,Yes
188,No
189,No
190,No
191,No
192,Yes
193,Yes
194,Yes
195,Yes
196,No
197,No
198,No
199,No
200,Yes
201,Yes
202,Yes
203,Yes
204,Yes
205,Yes
206,Yes
207,Yes
208,Yes
209,Yes
210,Yes
211,Yes
212,No
213,No
214,No
215,No
216,Yes
217,Yes
218,Yes
219,Yes
220,No
221,No
222,No
223,No
224,Yes
225,Yes
226,Yes
227,Yes
228,Yes
229,Yes
230,Yes
231,Yes
232,Yes
233,Yes
234,Yes
235,Yes
236,Yes
237,Yes
238,Yes
239,Yes
240,Yes
241,Yes
242,Yes
243,Yes
244,Yes
245,Yes
246,Yes
247,Yes
248,No
249,No
250,No
251,No
252,No
253,No
254,No
255,No
256,Yes
257,Yes
258,Yes
259,Yes
260,Yes
261,Yes
262,Yes
263,Yes
264,Yes
265,Yes
266,Yes
267,Yes
268,Yes
269,Yes
270,Yes
271,Yes
272,No
273,No
274,No
275,No
276,Yes
277,Yes
278,Yes
279,Yes
280,No
281,No
282,No
283,No
284,Yes
285,Yes
286,Yes
287,Yes
288,No
289,No
290,No
291,No
292,Yes
293,Yes
294,Yes
295,Yes
296,No
297,No
298,No
299,No
300,Yes
301,Yes
302,Yes
303,Yes
304,Yes
305,Yes
306,Yes
307,Yes
308,No
309,No
310,No
311,No
312,No
313,No
314,No
315,No
316,Yes
317,Yes
318,Yes
319,Yes
320,No
321,No
322,No
323,No
324,No
325,No
326,No
327,No
328,No
329,No
330,No
331,No
332,Yes
333,Yes
334,Yes
335,Yes
336,Yes
337,Yes
338,Yes
339,Yes
340,Yes
341,Yes
342,Yes
343,Yes
344,Yes
345,Yes
346,Yes
347,Yes
348,No
349,No
350,No
351,No
352,No
353,No
354,No
355,No
356,No
357,No
358,No
359,No
360,No
361,No
362,No
363,No
364,No
365,No
366,No
367,No
368,Yes
369,Yes
370,Yes
371,Yes
372,Yes
373,Yes
374,Yes
375,Yes
376,Yes
377,Yes
378,Yes
379,Yes
380,Yes
381,Yes
382,Yes
383,Yes
384,No
385,No
386,No
387,No
388,Yes
389,Yes
390,Yes
391,Yes
392,Yes
393,Yes
394,Yes
395,Yes
396,Yes
397,Yes
398,Yes
399,Yes
400,No
401,No
402,No
403,No
404,Yes
405,Yes
406,Yes
407,Yes
408,Yes
409,Yes
410,Yes
411,Yes
412,No
413,No
414,No
415,No
416,Yes
417,Yes
418,Yes
419,Yes
420,Yes
421,Yes
422,Yes
423,Yes
424,Yes
425,Yes
426,Yes
427,Yes
428,No
429,No
430,No
431,No
432,No
433,No
434,No
435,No
436,No
437,No
438,No
439,No
440,No
441,No
442,No
443,No
444,No
445,No
446,No
447,No
448,No
449,No
450,No
451,No
452,Yes
453,Yes
454,Yes
455,Yes
456,Yes
457,Yes
458,Yes
459,Yes
460,No
461,No
462,No
463,No
464,Yes
465,Yes
466,Yes
467,Yes
468,Yes
469,Yes
470,Yes
471,Yes
472,Yes
473,Yes
474,Yes
475,Yes
476,No
477,No
478,No
479,No
480,Yes
481,Yes
482,Yes
483,Yes
484,Yes
485,Yes
486,Yes
487,Yes
488,Yes
489,Yes
490,Yes
491,Yes
492,No
493,No
494,No
495,No
496,Yes
497,Yes
498,Yes
499,Yes
500,Yes
501,Yes
502,Yes
503,Yes
504,Yes
505,Yes
506,Yes
507,Yes
508,No
509,No
510,No
511,No
512,No
513,No
514,No
515,No
516,No
517,No
518,No
519,No
520,No
521,No
522,No
523,No
524,Yes
525,Yes
526,Yes
527,Yes
528,Yes
529,Yes
530,Yes
531,Yes
532,Yes
533,Yes
534,Yes
535,Yes
536,Yes
537,Yes
538,Yes
539,Yes
540,Yes
541,Yes
542,Yes
543,Yes
544,Yes
545,Yes
546,Yes
547,Yes
548,Yes
549,Yes
550,Yes
551,Yes
552,No
553,No
554,No
555,No
556,No
557,No
558,No
559,No
560,Yes
561,Yes
562,Yes
563,Yes
564,No
565,No
566,No
567,No
568,No
569,No
570,No
571,No
572,Yes
573,Yes
574,Yes
575,Yes
576,Yes
577,Yes
578,Yes
579,Yes
580,No
581,No
582,No
583,No
584,Yes
585,Yes
586,Yes
587,Yes
588,Yes
589,Yes
590,Yes
591,Yes
592,No
593,No
594,No
595,No
596,Yes
597,Yes
598,Yes
599,Yes
600,Yes
601,Yes
602,Yes
603,Yes
604,No
605,No
606,No
607,No
608,No
609,No
610,No
611,No
612,No
613,No
614,No
615,No
616,No
617,No
618,No
619,No
620,Yes
621,Yes
622,Yes
623,Yes
624,No
625,No
626,No
627,No
628,No
629,No
630,No
631,No
632,No
633,No
634,No
635,No
636,Yes
637,Yes
638,Yes
639,Yes
640,Yes
641,Yes
642,Yes
643,Yes
644,Yes
645,Yes
646,Yes
647,Yes
648,Yes
649,Yes
650,Yes
651,Yes
652,No
653,No
654,No
655,No
656,Yes
657,Yes
658,Yes
659,Yes
660,No
661,No
662,No
663,No
664,Yes
665,Yes
666,Yes
667,Yes
668,No
669,No
670,No
671,No
672,Yes
673,Yes
674,Yes
675,Yes
676,Yes
677,Yes
678,Yes
679,Yes
680,Yes
681,Yes
682,Yes
683,Yes
684,Yes
685,Yes
686,Yes
687,Yes
688,Yes
689,Yes
690,Yes
691,Yes
692,No
693,No
694,No
695,No
696,No
697,No
698,No
699,No
700,Yes
701,Yes
702,Yes
703,Yes
704,Yes
705,Yes
706,Yes
707,Yes
708,No
709,No
710,No
711,No
712,No
713,No
714,No
715,No
716,No
717,No
718,No
719,No
720,No
721,No
722,No
723,No
724,No
725,No
726,No
727,No
728,No
729,No
730,No
731,No
732,Yes
733,Yes
734,Yes
735,Yes
736,Yes
737,Yes
738,Yes
739,Yes
740,Yes
741,Yes
742,Yes
743,Yes
744,Yes
745,Yes
746,Yes
747,Yes
748,No
749,No
750,No
751,No
752,Yes
753,Yes
754,Yes
755,Yes
756,Yes
757,Yes
758,Yes
759,Yes
760,Yes
761,Yes
762,Yes
763,Yes
764,No
765,No
766,No
767,No
768,Yes
769,Yes
770,Yes
771,Yes
772,No
773,No
774,No
775,No
776,No
777,No
778,No
779,No
780,No
781,No
782,No
783,No
784,Yes
785,Yes
786,Yes
787,Yes
788,Yes
789,Yes
790,Yes
791,Yes
792,No
793,No
794,No
795,No
796,No
797,No
798,No
799,No
800,No
801,No
802,No
803,No
804,Yes
805,Yes
806,Yes
807,Yes
808,Yes
809,Yes
810,Yes
811,Yes
812,No
813,No
814,No
815,No
816,No
817,No
818,No
819,No
820,No
821,No
822,No
823,No
824,No
825,No
826,No
827,No
828,No
829,No
830,No
831,No
832,Yes
833,Yes
834,Yes
835,Yes
836,Yes
837,Yes
838,Yes
839,Yes
840,Yes
841,Yes
