,Annual_Income
0,19114.12
1,19114.12
2,19114.12
3,19114.12
4,34847.84
5,34847.84
6,34847.84
7,34847.84
8,143162.64
9,143162.64
10,143162.64
11,143162.64
12,30689.89
13,30689.89
14,30689.89
15,30689.89
16,35547.71
17,35547.71
18,35547.71
19,35547.71
20,73928.46
21,73928.46
22,73928.46
23,73928.46
24,131313.4
25,131313.4
26,131313.4
27,131313.4
28,34081.38
29,34081.38
30,34081.38
31,34081.38
32,114838.41
33,114838.41
34,114838.41
35,114838.41
36,31370.8
37,31370.8
38,31370.8
39,31370.8
40,33751.27
41,33751.27
42,33751.27
43,33751.27
44,88640.24
45,88640.24
46,88640.24
47,88640.24
48,54392.16
49,54392.16
50,54392.16
51,54392.16
52,8701.545
53,8701.545
54,8701.545
55,8701.545
56,25546.26
57,25546.26
58,25546.26
59,25546.26
60,31993.78
61,31993.78
62,31993.78
63,31993.78
64,92047.08
65,
66,92047.08
67,
68,32284.62
69,32284.62
70,32284.62
71,32284.62
72,97791.42
73,97791.42
74,97791.42
75,97791.42
76,19300.34
77,19300.34
78,19300.34
79,19300.34
80,19514.88
81,19514.88
82,19514.88
83,19514.88
84,
85,10183.015
86,10183.015
87,
88,106733.13
89,106733.13
90,106733.13
91,106733.13
92,12600.445
93,12600.445
94,12600.445
95,12600.445
96,57983.12
97,57983.12
98,57983.12
99,57983.12
100,20787.69
101,20787.69
102,20787.69
103,20787.69
104,34290.12
105,34290.12
106,34290.12
107,34290.12
108,43070.24
109,43070.24
110,43070.24
111,43070.24
112,28572.39
113,28572.39
114,28572.39
115,28572.39
116,39641.54
117,39641.54
118,39641.54
119,39641.54
120,20186.02
121,20186.02
122,20186.02
123,20186.02
124,18627.64
125,18627.64
126,18627.64
127,18627.64
128,12986.745
129,12986.745
130,12986.745
131,12986.745
132,58317.0
133,58317.0
134,58317.0
135,58317.0
136,42171.98
137,42171.98
138,42171.98
139,42171.98
140,
141,71681.4
142,71681.4
143,71681.4
144,29469.98
145,29469.98
146,29469.98
147,
148,72559.36
149,72559.36
150,72559.36
151,72559.36
152,15566.02
153,15566.02
154,15566.02
155,15566.02
156,66567.32
157,66567.32
158,66567.32
159,66567.32
160,12909.895
161,12909.895
162,12909.895
163,12909.895
164,
165,30788.44
166,30788.44
167,30788.44
168,20574.47
169,20574.47
170,20574.47
171,20574.47
172,148699.32
173,148699.32
174,148699.32
175,148699.32
176,85554.03
177,85554.03
178,85554.03
179,85554.03
180,55829.79
181,55829.79
182,55829.79
183,55829.79
184,14165.23
185,14165.23
186,14165.23
187,14165.23
188,87215.68
189,87215.68
190,87215.68
191,87215.68
192,81842.28
193,81842.28
194,81842.28
195,81842.28
196,95956.5
197,95956.5
198,95956.5
199,95956.5
200,49967.01
201,49967.01
202,49967.01
203,49967.01
204,39887.22
205,39887.22
206,39887.22
207,39887.22
208,14129.76
209,14129.76
210,14129.76
211,14129.76
212,123732.32
213,123732.32
214,
215,123732.32
216,17251.38
217,17251.38
218,17251.38
219,17251.38
220,36822.29
221,36822.29
222,36822.29
223,36822.29
224,80108.31
225,80108.31
226,80108.31
227,80108.31
228,69977.6
229,69977.6
230,69977.6
231,69977.6
232,78988.48
233,78988.48
234,78988.48
235,78988.48
236,41746.76
237,41746.76
238,41746.76
239,41746.76
240,19981.6
241,19981.6
242,19981.6
243,
244,73737.36
245,73737.36
246,73737.36
247,73737.36
248,88362.46
249,88362.46
250,88362.46
251,88362.46
252,118248.6
253,118248.6
254,118248.6
255,118248.6
256,60162.1
257,60162.1
258,
259,60162.1
260,75273.24
261,75273.24
262,75273.24
263,75273.24
264,54820.89
265,54820.89
266,54820.89
267,54820.89
268,58674.66
269,58674.66
270,58674.66
271,58674.66
272,30390.44
273,30390.44
274,30390.44
275,30390.44
276,45207.54
277,45207.54
278,45207.54
279,45207.54
280,144546.72
281,144546.72
282,144546.72
283,144546.72
284,30346.35
285,30346.35
286,30346.35
287,30346.35
288,18681.465
289,
290,18681.465
291,18681.465
292,9841.34
293,9841.34
294,9841.34
295,9841.34
296,72330.98
297,72330.98
298,72330.98
299,72330.98
300,43241.49
301,43241.49
302,43241.49
303,43241.49
304,34106.78
305,34106.78
306,34106.78
307,34106.78
308,129067.59
309,129067.59
310,129067.59
311,129067.59
312,17001.34
313,17001.34
314,17001.34
315,17001.34
316,44719.17
317,44719.17
318,44719.17
319,44719.17
320,17787.34
321,17787.34
322,17787.34
323,17787.34
324,103353.06
325,103353.06
326,103353.06
327,103353.06
328,
329,31021.24
330,31021.24
331,31021.24
332,134978.24
333,134978.24
334,134978.24
335,134978.24
336,39800.12
337,39800.12
338,39800.12
339,39800.12
340,14841.35
341,14841.35
342,14841.35
343,14841.35
344,66105.4
345,66105.4
346,66105.4
347,66105.4
348,15398.95
349,15398.95
350,15398.95
351,
352,27070.07
353,27070.07
354,27070.07
355,27070.07
356,17992.775
357,17992.775
358,17992.775
359,17992.775
360,139354.48
361,139354.48
362,139354.48
363,139354.48
364,18305.25
365,18305.25
366,18305.25
367,18305.25
368,27865.26
369,27865.26
370,27865.26
371,27865.26
372,23404.86
373,23404.86
374,23404.86
375,23404.86
376,14205.09
377,14205.09
378,14205.09
379,14205.09
380,62320.56
381,62320.56
382,62320.56
383,62320.56
384,43758.34
385,43758.34
386,43758.34
387,43758.34
388,
389,144881.68
390,144881.68
391,144881.68
392,108147.3
393,108147.3
394,108147.3
395,108147.3
396,17759.1
397,
398,17759.1
399,17759.1
400,85328.73
401,85328.73
402,85328.73
403,85328.73
404,
405,134321.44
406,134321.44
407,134321.44
408,61008.0
409,61008.0
410,61008.0
411,61008.0
412,28665.76
413,28665.76
414,28665.76
415,28665.76
416,56803.71
417,56803.71
418,56803.71
419,56803.71
420,38364.82
421,38364.82
422,38364.82
423,38364.82
424,66528.24
425,66528.24
426,
427,66528.24
428,19403.405
429,19403.405
430,19403.405
431,19403.405
432,31122.79
433,31122.79
434,31122.79
435,31122.79
436,15015.4
437,15015.4
438,15015.4
439,15015.4
440,19777.05
441,
442,
443,19777.05
444,20188.02
445,20188.02
446,20188.02
447,20188.02
448,41345.58
449,
450,41345.58
451,
452,55151.04
453,55151.04
454,55151.04
455,55151.04
456,30536.62
457,30536.62
458,30536.62
459,30536.62
460,147499.6
461,147499.6
462,147499.6
463,147499.6
464,20005.22
465,20005.22
466,20005.22
467,20005.22
468,19795.52
469,19795.52
470,19795.52
471,19795.52
472,60938.13
473,60938.13
474,60938.13
475,60938.13
476,80396.86
477,80396.86
478,80396.86
479,80396.86
480,57610.32
481,57610.32
482,57610.32
483,57610.32
484,18717.02
485,18717.02
486,18717.02
487,18717.02
488,19163.22
489,19163.22
490,19163.22
491,19163.22
492,94554.87
493,94554.87
494,94554.87
495,94554.87
496,63536.98
497,63536.98
498,63536.98
499,63536.98
500,9983.345
501,9983.345
502,9983.345
503,9983.345
504,27796.42
505,27796.42
506,27796.42
507,27796.42
508,132872.72
509,132872.72
510,132872.72
511,132872.72
512,140014.36
513,140014.36
514,
515,
516,37071.2
517,37071.2
518,37071.2
519,
520,41735.55
521,41735.55
522,41735.55
523,41735.55
524,40391.66
525,40391.66
526,40391.66
527,40391.66
528,7441.295
529,7441.295
530,7441.295
531,7441.295
532,19065.32
533,19065.32
534,19065.32
535,19065.32
536,24585.55
537,24585.55
538,24585.55
539,24585.55
540,15013.73
541,15013.73
542,15013.73
543,15013.73
544,126006.68
545,126006.68
546,126006.68
547,126006.68
548,102885.32
549,102885.32
550,102885.32
551,102885.32
552,34212.01
553,34212.01
554,34212.01
555,34212.01
556,118487.16
557,118487.16
558,118487.16
559,118487.16
560,77418.52
561,77418.52
562,77418.52
563,77418.52
564,24199.24
565,24199.24
566,24199.24
567,24199.24
568,28587.29
569,28587.29
570,28587.29
571,28587.29
572,16578.115
573,16578.115
574,16578.115
575,16578.115
576,74647.4
577,74647.4
578,74647.4
579,74647.4
580,34766.06
581,
582,34766.06
583,34766.06
584,16852.635
585,16852.635
586,16852.635
587,16852.635
588,33502.1
589,33502.1
590,33502.1
591,33502.1
592,91690.53
593,91690.53
594,91690.53
595,91690.53
596,30502.54
597,30502.54
598,30502.54
599,30502.54
600,30272.61
601,30272.61
602,30272.61
603,
604,
605,59971.42
606,59971.42
607,59971.42
608,42220.39
609,42220.39
610,42220.39
611,42220.39
612,43581.13
613,43581.13
614,43581.13
615,43581.13
616,28681.38
617,
618,28681.38
619,28681.38
620,35376.32
621,35376.32
622,35376.32
623,35376.32
624,15488.885
625,15488.885
626,15488.885
627,15488.885
628,
629,19853.35
630,19853.35
631,19853.35
632,115643.01
633,115643.01
634,115643.01
635,115643.01
636,7512.225
637,7512.225
638,7512.225
639,7512.225
640,35161.46
641,35161.46
642,35161.46
643,35161.46
644,9133.045
645,9133.045
646,
647,9133.045
648,19283.47
649,
650,19283.47
651,19283.47
652,66502.76
653,66502.76
654,66502.76
655,66502.76
656,
657,9444.795
658,9444.795
659,9444.795
660,70112.78
661,70112.78
662,70112.78
663,70112.78
664,15604.56
665,15604.56
666,15604.56
667,15604.56
668,68935.26
669,68935.26
670,68935.26
671,68935.26
672,31807.0
673,31807.0
674,31807.0
675,31807.0
676,10025.2
677,10025.2
678,10025.2
679,10025.2
