,Interest_Rate
0,3
1,3
2,3
3,3
4,6
5,6
6,6
7,6
8,8
9,8
10,8
11,8
12,4
13,4
14,4
15,4
16,5
17,5
18,5
19,5
20,8
21,8
22,8
23,8
24,8
25,8
26,8
27,8
28,15
29,15
30,15
31,15
32,7
33,7
34,7
35,7
36,12
37,12
38,12
39,12
40,20
41,20
42,20
43,20
44,1
45,1
46,1
47,1
48,14
49,14
50,14
51,14
52,32
53,32
54,32
55,32
56,14
57,14
58,14
59,14
60,7
61,7
62,7
63,7
64,16
65,16
66,16
67,16
68,17
69,17
70,17
71,17
72,12
73,12
74,12
75,12
76,17
77,17
78,17
79,17
80,17
81,17
82,17
83,17
84,17
85,17
86,17
87,17
88,1
89,1
90,1
91,1
92,10
93,10
94,10
95,10
96,31
97,31
98,31
99,31
100,14
101,14
102,14
103,14
104,25
105,25
106,25
107,25
108,18
109,18
110,18
111,18
112,15
113,15
114,15
115,15
116,25
117,25
118,25
119,25
120,1
121,1
122,1
123,1
124,19
125,19
126,19
127,19
128,10
129,10
130,10
131,10
132,9
133,9
134,9
135,9
136,10
137,10
138,10
139,10
140,15
141,15
142,15
143,15
144,24
145,24
146,24
147,24
148,17
149,17
150,17
151,17
152,32
153,32
154,32
155,32
156,5
157,5
158,5
159,5
160,13
161,13
162,13
163,13
164,31
165,31
166,31
167,31
168,14
169,14
170,14
171,14
172,5
173,5
174,5
175,5
176,3
177,3
178,3
179,3
180,18
181,18
182,18
183,18
184,33
185,33
186,33
187,33
188,8
189,8
190,8
191,8
192,25
193,25
194,25
195,25
196,11
197,11
198,11
199,11
200,31
201,31
202,31
203,31
204,16
205,16
206,16
207,16
208,21
209,21
210,21
211,21
212,11
213,11
214,11
215,11
216,7
217,7
218,7
219,7
220,6
221,6
222,6
223,6
224,17
225,17
226,17
227,17
228,20
229,20
230,20
231,20
232,29
233,29
234,29
235,29
236,31
237,31
238,31
239,31
240,20
241,20
242,20
243,20
244,18
245,18
246,18
247,18
248,8
249,8
250,8
251,8
252,4
253,4
254,4
255,4
256,5
257,5
258,5
259,5
260,32
261,32
262,32
263,32
264,28
265,28
266,28
267,28
268,15
269,15
270,15
271,15
272,5
273,5
274,5
275,5
276,24
277,24
278,24
279,24
280,7
281,7
282,7
283,7
284,14
285,14
286,14
287,14
288,9
289,9
290,9
291,9
292,31
293,31
294,31
295,31
296,11
297,11
298,11
299,11
300,30
301,30
302,30
303,30
304,17
305,17
306,17
307,17
308,1
309,1
310,1
311,1
312,5
313,5
314,5
315,5
316,29
317,29
318,29
319,29
320,16
321,16
322,16
323,16
324,6
325,6
326,6
327,6
328,11
329,11
330,11
331,11
332,15
333,15
334,15
335,15
336,12
337,12
338,12
339,12
340,17
341,17
342,17
343,17
344,31
345,31
346,31
347,31
348,5
349,5
350,5
351,5
352,11
353,11
354,11
355,11
356,6
357,6
358,6
359,6
360,18
361,18
362,18
363,18
364,4
365,4
366,4
367,4
368,6
369,6
370,6
371,6
372,7
373,7
374,7
375,7
376,21
377,21
378,21
379,21
380,18
381,18
382,18
383,18
384,12
385,12
386,12
387,12
388,15
389,15
390,15
391,15
392,6
393,6
394,6
395,6
396,19
397,19
398,19
399,19
400,11
401,11
402,11
403,11
404,12
405,12
406,12
407,12
408,32
409,32
410,32
411,32
412,5
413,5
414,5
415,5
416,25
417,25
418,25
419,25
420,32
421,32
422,32
423,32
424,11
425,11
426,11
427,11
428,3
429,3
430,3
431,3
432,12
433,12
434,12
435,12
436,9
437,9
438,9
439,9
440,3
441,3
442,3
443,3
444,6
445,6
446,6
447,6
448,10
449,10
450,10
451,10
452,23
453,23
454,23
455,23
456,7
457,7
458,7
459,7
460,12
461,12
462,12
463,12
464,6
465,6
466,6
467,6
468,34
469,34
470,34
471,34
472,31
473,31
474,31
475,31
476,9
477,9
478,9
479,9
480,25
481,25
482,25
483,25
484,15
485,15
486,15
487,15
488,7
489,7
490,7
491,7
492,2
493,2
494,2
495,2
496,12
497,12
498,12
499,12
500,15
501,15
502,15
503,15
504,16
505,16
506,16
507,16
508,10
509,10
510,10
511,10
512,18
513,18
514,18
515,18
516,6
517,6
518,6
519,6
520,8
521,8
522,8
523,8
524,18
525,18
526,18
527,18
528,33
529,33
530,33
531,33
532,5
533,5
534,5
535,5
536,14
537,14
538,14
539,14
540,14
541,14
542,14
543,14
544,20
545,20
546,20
547,20
548,16
549,16
550,16
551,16
552,10
553,10
554,10
555,10
556,20
557,20
558,20
559,20
560,20
561,20
562,20
563,20
564,6
565,6
566,6
567,6
568,7
569,7
570,7
571,7
572,15
573,15
574,15
575,15
576,20
577,20
578,20
579,20
580,11
581,11
582,11
583,11
584,9
585,9
586,9
587,9
588,27
589,27
590,27
591,27
592,2
593,2
594,2
595,2
596,24
597,24
598,24
599,24
600,15
601,15
602,15
603,15
604,6
605,6
606,6
607,6
608,1
609,1
610,1
611,1
612,9
613,9
614,9
615,9
616,2
617,2
618,2
619,2
620,19
621,19
622,19
623,19
624,4
625,4
626,4
627,4
628,6
629,6
630,6
631,6
632,2
633,2
634,2
635,2
636,14
637,14
638,14
639,14
640,32
641,32
642,32
643,32
644,34
645,34
646,34
647,34
648,34
649,34
650,34
651,34
652,1
653,1
654,1
655,1
656,28
657,28
658,28
659,28
660,3
661,3
662,3
663,3
664,25
665,25
666,25
667,25
668,8
669,8
670,8
671,8
672,14
673,14
674,14
675,14
676,21
677,21
678,21
679,21
680,15
681,15
682,15
683,15
684,29
685,29
686,29
687,29
688,13
689,13
690,13
691,13
692,11
693,11
694,11
695,11
696,6
697,6
698,6
699,6
700,32
701,32
702,32
703,32
704,18
705,18
706,18
707,18
708,7
709,7
710,7
711,7
712,5
713,5
714,5
715,5
716,8
717,8
718,8
719,8
720,3
721,3
722,3
723,3
724,5
725,5
726,5
727,5
728,7
729,7
730,7
731,7
732,20
733,20
734,20
735,20
736,27
737,27
738,27
739,27
740,10
741,10
742,10
743,10
744,30
745,30
746,30
747,30
748,6
749,6
750,6
751,6
752,31
753,31
754,31
755,31
756,15
757,15
758,15
759,15
760,32
761,32
762,32
763,32
764,1
765,1
766,1
767,1
768,18
769,18
770,18
771,18
772,6
773,6
774,6
775,6
776,2
777,2
778,2
779,2
780,12
781,12
782,12
783,12
784,19
785,19
786,19
787,19
788,5
789,5
790,5
791,5
792,10
793,10
794,10
795,10
796,2
797,2
798,2
799,2
800,8
801,8
802,8
803,8
804,9
805,9
806,9
807,9
808,26
809,26
810,26
811,26
812,16
813,16
814,16
815,16
816,13
817,13
818,13
819,13
820,8
821,8
822,8
823,8
824,12
825,12
826,12
827,12
828,5
829,5
830,5
831,5
832,12
833,12
834,12
835,12
836,29
837,29
838,29
839,29
840,13
841,13
842,13
843,13
844,9
845,9
846,9
847,9
848,29
849,29
850,29
851,29
852,16
853,16
854,16
855,16
856,31
857,31
858,31
859,31
860,5
861,5
862,5
863,5
864,9
865,9
866,9
867,9
868,30
869,30
870,30
871,30
872,24
873,24
874,24
875,24
876,19
877,19
878,19
879,19
880,31
