,Monthly_Balance
0,186.2667021
1,361.4440039
2,264.6754462
3,343.8268732
4,485.2984337
5,303.3550833
6,452.3023068
7,421.4479645
8,854.226027
9,788.11455
10,410.4974446
11,715.4219008
12,425.7266258
13,455.4403202
14,332.9473881
15,300.9002145
16,475.964859
17,421.8782604
18,488.7663415
19,394.3236995
20,782.7494756
21,698.6261873
22,733.1224369
23,707.9965365
24,912.4050886
25,290.559392
26,125.4134153
27,710.7857402
28,165.2663667
29,337.7268145
30,390.502207
31,340.9468498
32,784.0174709
33,120.5424721
34,600.112509
35,819.9903417
36,364.3238276
37,376.4864417
38,397.2927666
39,453.6091471
40,248.6442846
41,380.5493705
42,186.7532428
43,376.7518169
44,753.6539526
45,697.7626904
46,411.4179933
47,486.1759806
48,292.7229242
49,486.9453386
50,359.8320917
51,346.2726173
52,265.5600096
53,267.7182193
54,248.0994984
55,261.6780166
56,360.9006542
57,314.4191424
58,359.8881171
59,279.2070997
60,465.8025129
61,351.1903492
62,388.6088245
63,433.0405687
64,409.7519793
65,874.6786135
66,545.1950488
67,654.8457748
68,235.2302792
69,285.038481
70,263.0109038
71,369.324243
72,541.5571337
73,379.3713073
74,898.3497775
75,858.8589466
76,191.2370131
77,199.760092
78,337.1545946
79,311.275686
80,324.1362345
81,379.7129411
82,270.689227
83,367.3192773
84,297.8170062
85,248.0953304
86,299.8210151
87,292.8867062
88,810.2293889
89,919.6153386
90,666.8141493
91,816.8544654
92,278.5779329
93,260.2846886
94,289.3351301
95,282.5423635
96,27.30187488
97,27.30187488
98,27.30187488
99,27.30187488
100,358.2052218
101,339.1442756
102,190.0500843
103,341.3799099
104,187.3587153
105,186.2582552
106,284.1886422
107,260.5187107
108,296.6968564
109,496.948111
110,449.2676959
111,543.4554358
112,217.0606671
113,298.1091109
114,270.780838
115,271.7597894
116,258.4824073
117,144.0458462
118,262.6568418
119,280.1682786
120,329.5896371
121,340.8675956
122,332.947616
123,364.5919763
124,265.6331996
125,284.5700153
126,259.2866048
127,274.7314172
128,260.0386501
129,319.2933409
130,243.4836514
131,283.0136561
132,215.9920996
133,215.9920996
134,215.9920996
135,215.9920996
136,399.645262
137,238.8609525
138,439.1619258
139,329.5292071
140,479.0251987
141,536.9633135
142,701.4185772
143,317.6608293
144,255.8262688
145,361.4951029
146,282.570349
147,317.8603756
148,70.86509797
149,198.2181422
150,493.1718453
151,297.8260941
152,226.5793588
153,304.1853435
154,241.8281297
155,286.1375363
156,217.7960961
157,217.7960961
158,217.7960961
159,217.7960961
160,321.2120541
161,328.9079212
162,341.8365784
163,291.3920762
