,Monthly_Inhand_Salary
0,1824.843333
1,1824.843333
2,1824.843333
3,1824.843333
4,3037.986667
5,3037.986667
6,3037.986667
7,3037.986667
8,12187.22
9,12187.22
10,12187.22
11,12187.22
12,2612.490833
13,2612.490833
14,2612.490833
15,2612.490833
16,2853.309167
17,2853.309167
18,2853.309167
19,2853.309167
20,5988.705
21,5988.705
22,5988.705
23,5988.705
24,10469.20776
25,10469.20776
26,10469.20776
27,10469.20776
28,2611.115
29,2611.115
30,2611.115
31,2611.115
32,9843.8675
33,9843.8675
34,9843.8675
35,9843.8675
36,2825.233333
37,2825.233333
38,2825.233333
39,2825.233333
40,2948.605833
41,2948.605833
42,2948.605833
43,2948.605833
44,7266.686667
45,7266.686667
46,7266.686667
47,7266.686667
48,4766.68
49,4766.68
50,4766.68
51,4766.68
52,519.12875
53,519.12875
54,519.12875
55,519.12875
56,2415.855
57,2415.855
58,2415.855
59,2415.855
60,2942.148333
61,2942.148333
62,2942.148333
63,2942.148333
64,7591.59
65,7591.59
66,7591.59
67,7591.59
68,2749.762492
69,2749.762492
70,2749.762492
71,2749.762492
72,7449.469347
73,7449.469347
74,7449.469347
75,7449.469347
76,1512.361667
77,1512.361667
78,1512.361667
79,1512.361667
80,1828.24
81,1828.24
82,1828.24
83,1828.24
84,1074.584583
85,1074.584583
86,1074.584583
87,1074.584583
88,8873.4275
89,8873.4275
90,8873.4275
91,8873.4275
92,782.0370833
93,782.0370833
94,782.0370833
95,782.0370833
96,4720.926667
97,4720.926667
98,4720.926667
99,4720.926667
100,1999.3075
101,1999.3075
102,1999.3075
103,1999.3075
104,2697.51
105,2697.51
106,2697.51
107,2697.51
108,3622.186667
109,3622.186667
110,3622.186667
111,3622.186667
112,2210.0325
113,2210.0325
114,2210.0325
115,2210.0325
116,3007.461667
117,3007.461667
118,3007.461667
119,3007.461667
120,1684.168333
121,1684.168333
122,1684.168333
123,1684.168333
124,1387.303333
125,1387.303333
126,1387.303333
127,1387.303333
128,959.22875
129,959.22875
130,959.22875
131,959.22875
132,4664.75
133,4664.75
134,4664.75
135,4664.75
136,3764.331667
137,3764.331667
138,3764.331667
139,3764.331667
140,5799.45
141,5799.45
142,5799.45
143,5799.45
144,2227.831667
145,2227.831667
146,2227.831667
147,2227.831667
148,6284.613333
149,6284.613333
150,6284.613333
151,6284.613333
152,1423.168333
153,1423.168333
154,1423.168333
155,1423.168333
156,5800.276667
157,5800.276667
158,5800.276667
159,5800.276667
160,853.8245833
161,853.8245833
162,853.8245833
163,853.8245833
164,2623.703333
165,2623.703333
166,2623.703333
167,2623.703333
168,1740.539167
169,1740.539167
170,1740.539167
171,1740.539167
172,12432.61
173,12432.61
174,12432.61
175,12432.61
176,7185.5025
177,7185.5025
178,7185.5025
179,7185.5025
180,4369.4825
181,4369.4825
182,4369.4825
183,4369.4825
184,1057.435833
185,1057.435833
186,1057.435833
187,1057.435833
188,7489.973333
189,7489.973333
190,7489.973333
191,7489.973333
192,6810.19
193,6810.19
194,6810.19
195,6810.19
196,8279.375
197,8279.375
198,8279.375
199,8279.375
200,4091.9175
201,4091.9175
202,4091.9175
203,4091.9175
204,3224.935
205,3224.935
206,3224.935
207,3224.935
208,1012.48
209,1012.48
210,1012.48
211,1012.48
212,10416.02667
213,10416.02667
214,10416.02667
215,10416.02667
216,1654.615
217,1654.615
218,1654.615
219,1654.615
220,3132.524167
221,3132.524167
222,3132.524167
223,3132.524167
224,6866.6925
225,6866.6925
226,6866.6925
227,6866.6925
228,5978.466667
229,5978.466667
230,5978.466667
231,5978.466667
232,6449.373333
233,6449.373333
234,6449.373333
235,6449.373333
236,3651.896667
237,3651.896667
238,3651.896667
239,3651.896667
240,1459.133333
241,1459.133333
242,1459.133333
243,1459.133333
244,5936.78
245,5936.78
246,5936.78
247,5936.78
248,7255.538333
249,7255.538333
250,7255.538333
251,7255.538333
252,10115.05
253,10115.05
254,10115.05
255,10115.05
256,5197.508333
257,5197.508333
258,5197.508333
259,5197.508333
260,6424.022011
261,6424.022011
262,6424.022011
263,6424.022011
264,4295.4075
265,4295.4075
266,4295.4075
267,4295.4075
268,4824.555
269,4824.555
270,4824.555
271,4824.555
272,2721.536667
273,2721.536667
274,2721.536667
275,2721.536667
276,3507.295
277,3507.295
278,3507.295
279,3507.295
280,10653.04311
281,10653.04311
282,10653.04311
283,10653.04311
284,2651.8625
285,2651.8625
286,2651.8625
287,2651.8625
288,1584.78875
289,1584.78875
290,1584.78875
291,1584.78875
292,690.1116667
293,690.1116667
294,690.1116667
295,690.1116667
296,6300.581667
297,6300.581667
298,6300.581667
299,6300.581667
300,3282.269196
301,3282.269196
302,3282.269196
303,3282.269196
304,2767.231667
305,2767.231667
306,2767.231667
307,2767.231667
308,10795.6325
309,10795.6325
310,10795.6325
311,10795.6325
312,1214.778333
313,1214.778333
314,1214.778333
315,1214.778333
316,3969.5975
317,3969.5975
318,3969.5975
319,3969.5975
320,1242.278333
321,1242.278333
322,1242.278333
323,1242.278333
324,8527.755
325,8527.755
326,8527.755
327,8527.755
328,2756.103333
329,2756.103333
330,2756.103333
331,2756.103333
332,10541.52075
333,10541.52075
334,10541.52075
335,10541.52075
336,3047.676667
337,3047.676667
338,3047.676667
339,3047.676667
340,1437.779167
341,1437.779167
342,1437.779167
343,1437.779167
344,5653.783333
345,5653.783333
346,5653.783333
347,5653.783333
348,1548.245833
349,1548.245833
350,1548.245833
351,1548.245833
352,2518.839167
353,2518.839167
354,2518.839167
355,2518.839167
356,1769.397917
357,1769.397917
358,1769.397917
359,1769.397917
360,10872.26506
361,10872.26506
362,10872.26506
363,10872.26506
364,1557.4375
365,1557.4375
366,1557.4375
367,1557.4375
368,2606.105
369,2606.105
370,2606.105
371,2606.105
372,1899.405
373,1899.405
374,1899.405
375,1899.405
376,1086.7575
377,1086.7575
378,1086.7575
379,1086.7575
380,5068.38
381,5068.38
382,5068.38
383,5068.38
384,3454.528333
385,3454.528333
386,3454.528333
387,3454.528333
388,11877.47333
389,11877.47333
390,11877.47333
391,11877.47333
392,8926.275
393,8926.275
394,8926.275
395,8926.275
396,1533.925
397,1533.925
398,1533.925
399,1533.925
400,6858.7275
401,6858.7275
402,6858.7275
403,6858.7275
404,9997.592514
405,9997.592514
406,9997.592514
407,9997.592514
408,5235.0
409,5235.0
410,5235.0
411,5235.0
412,2582.813333
413,2582.813333
414,2582.813333
415,2582.813333
416,4620.6425
417,4620.6425
418,4620.6425
419,4620.6425
420,2904.068333
421,2904.068333
422,2904.068333
423,2904.068333
424,5733.02
425,5733.02
426,5733.02
427,5733.02
428,1904.950417
429,1904.950417
430,1904.950417
431,1904.950417
432,2761.565833
433,2761.565833
434,2761.565833
435,2761.565833
436,1213.283333
437,1213.283333
438,1213.283333
439,1213.283333
440,1728.0875
441,1728.0875
442,1728.0875
443,1728.0875
444,1851.335
445,1851.335
446,1851.335
447,1851.335
448,3260.465
449,3260.465
450,3260.465
451,3260.465
452,4704.92
453,4704.92
454,4704.92
455,4704.92
456,2430.718333
457,2430.718333
458,2430.718333
459,2430.718333
460,12353.63333
461,12353.63333
462,12353.63333
463,12353.63333
464,1683.101667
465,1683.101667
466,1683.101667
467,1683.101667
468,1662.626667
469,1662.626667
470,1662.626667
471,1662.626667
472,5163.1775
473,5163.1775
474,5163.1775
475,5163.1775
476,6623.738333
477,6623.738333
478,6623.738333
479,6623.738333
480,4517.86
481,4517.86
482,4517.86
483,4517.86
484,1294.751667
485,1294.751667
486,1294.751667
487,1294.751667
488,1346.935
489,1346.935
490,1346.935
491,1346.935
492,7914.5725
493,7914.5725
494,7914.5725
495,7914.5725
496,5382.748333
497,5382.748333
498,5382.748333
499,5382.748333
500,758.9454167
501,758.9454167
502,758.9454167
503,758.9454167
504,2300.368333
505,2300.368333
506,2300.368333
507,2300.368333
508,11203.72667
509,11203.72667
510,11203.72667
511,11203.72667
512,11662.86333
513,11662.86333
514,11662.86333
515,11662.86333
516,3006.266667
517,3006.266667
518,3006.266667
519,3006.266667
520,3357.9625
521,3357.9625
522,3357.9625
523,3357.9625
524,3357.971667
525,3357.971667
526,3357.971667
527,3357.971667
528,822.5517437
529,822.5517437
530,822.5517437
531,822.5517437
532,1497.776667
533,1497.776667
534,1497.776667
535,1497.776667
536,2316.795833
537,2316.795833
538,2316.795833
539,2316.795833
540,1127.144167
541,1127.144167
542,1127.144167
543,1127.144167
544,10693.55667
545,10693.55667
546,10693.55667
547,10693.55667
548,8643.776667
549,8643.776667
550,8643.776667
551,8643.776667
552,2847.000833
553,2847.000833
554,2847.000833
555,2847.000833
556,9810.93
557,9810.93
558,9810.93
559,9810.93
560,6450.543333
561,6450.543333
562,6450.543333
563,6450.543333
564,1951.603333
565,1951.603333
566,1951.603333
567,1951.603333
568,2621.274167
569,2621.274167
570,2621.274167
571,2621.274167
572,1426.509583
573,1426.509583
574,1426.509583
575,1426.509583
576,6327.616667
577,6327.616667
578,6327.616667
579,6327.616667
580,3133.171667
581,3133.171667
582,3133.171667
583,3133.171667
584,1530.800373
585,1530.800373
586,1530.800373
587,1530.800373
588,2890.841667
589,2890.841667
590,2890.841667
591,2890.841667
592,7795.8775
593,7795.8775
594,7795.8775
595,7795.8775
596,2595.878333
597,2595.878333
598,2595.878333
599,2595.878333
600,2258.7175
601,2258.7175
602,2258.7175
603,2258.7175
604,5190.618333
605,5190.618333
606,5190.618333
607,5190.618333
608,3490.365833
609,3490.365833
610,3490.365833
611,3490.365833
612,3566.760833
613,3566.760833
614,3566.760833
615,3566.760833
616,2127.115
617,2127.115
618,2127.115
619,2127.115
620,2717.026667
621,2717.026667
622,2717.026667
623,2717.026667
624,1273.740417
625,1273.740417
626,1273.740417
627,1273.740417
628,1726.445833
629,1726.445833
630,1726.445833
631,1726.445833
632,9910.9175
633,9910.9175
634,9910.9175
635,9910.9175
636,513.01875
637,513.01875
638,513.01875
639,513.01875
640,2930.121667
641,2930.121667
642,2930.121667
643,2930.121667
644,777.0870833
645,777.0870833
646,777.0870833
647,777.0870833
648,1886.955833
649,1886.955833
650,1886.955833
651,1886.955833
652,5379.896667
653,5379.896667
654,5379.896667
655,5379.896667
656,850.06625
657,850.06625
658,850.06625
659,850.06625
660,5989.731667
661,5989.731667
662,5989.731667
663,5989.731667
664,1389.38
665,1389.38
666,1389.38
667,1389.38
668,5518.605
669,5518.605
670,5518.605
671,5518.605
672,2733.583333
673,2733.583333
674,2733.583333
675,2733.583333
