,Num_Bank_Accounts
0,3
1,3
2,3
3,3
4,2
5,2
6,2
7,2
8,1
9,1
10,1
11,1
12,2
13,2
14,2
15,2
16,7
17,7
18,7
19,7
20,4
21,4
22,4
23,4
24,0
25,0
26,0
27,0
28,8
29,8
30,8
31,8
32,2
33,2
34,2
35,2
36,1
37,1
38,1
39,1
40,5
41,5
42,5
43,5
44,3
45,3
46,3
47,3
48,6
49,6
50,6
51,6
52,6
53,6
54,6
55,6
56,8
57,8
58,8
59,8
60,6
61,6
62,6
63,6
64,6
65,6
66,6
67,6
68,6
69,6
70,6
71,6
72,6
73,6
74,6
75,6
76,6
77,6
78,6
79,6
80,7
81,7
82,7
83,7
84,7
85,7
86,7
87,7
88,4
89,4
90,4
91,4
92,5
93,5
94,5
95,5
96,9
97,9
98,9
99,9
100,8
101,8
102,8
103,8
104,9
105,9
106,9
107,9
108,3
109,3
110,3
111,3
112,6
113,6
114,6
115,6
116,10
117,10
118,10
119,10
120,1
121,1
122,1
123,1
124,7
125,7
126,7
127,7
128,4
129,4
130,4
131,4
132,8
133,8
134,8
135,8
136,2
137,2
138,2
139,2
140,3
141,3
142,3
143,3
144,7
145,7
146,7
147,7
148,4
149,4
150,4
151,4
152,8
153,8
154,8
155,8
156,5
157,5
158,5
159,5
160,5
161,5
162,5
163,5
164,7
165,7
166,7
167,7
168,6
169,6
170,6
171,6
172,3
173,3
174,3
175,3
176,4
177,4
178,4
179,4
180,10
181,10
182,10
183,10
184,7
185,7
186,7
187,7
188,2
189,2
190,2
191,2
192,10
193,10
194,10
195,10
196,8
197,8
198,8
199,8
200,6
201,6
202,6
203,6
204,9
205,9
206,9
207,9
208,8
209,8
210,8
211,8
212,4
213,4
214,4
215,4
216,6
217,6
218,6
219,6
220,8
221,8
222,8
223,8
224,5
225,5
226,5
227,5
228,10
229,10
230,10
231,10
232,9
233,9
234,9
235,9
236,8
237,8
238,8
239,8
240,10
241,10
242,10
243,10
244,7
245,7
246,7
247,7
248,5
249,5
250,5
251,5
252,5
253,5
254,5
255,5
256,5
257,5
258,5
259,5
260,8
261,8
262,8
263,8
264,8
265,8
266,8
267,8
268,8
269,8
270,8
271,8
272,5
273,5
274,5
275,5
276,8
277,8
278,8
279,8
280,0
281,0
282,0
283,0
284,5
285,5
286,5
287,5
288,2
289,2
290,2
291,2
292,8
293,8
294,8
295,8
296,0
297,0
298,0
299,1
300,10
301,10
302,10
303,10
304,8
305,8
306,8
307,8
308,1
309,1
310,1
311,1
312,6
313,6
314,6
315,6
316,6
317,6
318,6
319,6
320,8
321,8
322,8
323,8
324,3
325,3
326,3
327,3
328,7
329,7
330,7
331,7
332,8
333,8
334,8
335,8
336,7
337,7
338,7
339,7
340,6
341,6
342,6
343,6
344,6
345,6
346,6
347,6
348,1
349,1
350,1
351,1
352,7
353,7
354,7
355,7
356,3
357,3
358,3
359,3
360,3
361,3
362,3
363,3
364,2
365,2
366,2
367,2
368,4
369,4
370,4
371,4
372,6
373,6
374,6
375,6
376,7
377,7
378,7
379,7
380,9
381,9
382,9
383,9
384,5
385,5
386,5
387,5
388,3
389,3
390,3
391,3
392,3
393,3
394,3
395,3
396,6
397,6
398,6
399,6
400,3
401,3
402,3
403,3
404,3
405,3
406,3
407,3
408,10
409,10
410,10
411,10
412,7
413,7
414,7
415,7
416,7
417,7
418,7
419,7
420,9
421,9
422,9
423,9
424,5
425,5
426,5
427,5
428,1
429,1
430,1
431,1
432,7
433,7
434,7
435,7
436,5
437,5
438,5
439,5
440,5
441,5
442,5
443,5
444,4
445,4
446,4
447,4
448,0
449,0
450,0
451,0
452,10
453,10
454,10
455,10
456,6
457,6
458,6
459,6
460,2
461,2
462,2
463,2
464,8
465,8
466,8
467,8
468,7
469,7
470,7
471,7
472,10
473,10
474,10
475,10
476,5
477,5
478,5
479,5
480,8
481,8
482,8
483,8
484,8
485,8
486,8
487,8
488,3
489,3
490,3
491,3
492,2
493,2
494,2
495,2
496,4
497,4
498,4
499,4
500,7
501,7
502,7
503,7
504,6
505,6
506,6
507,6
508,3
509,3
510,3
511,3
512,3
513,3
514,4
515,4
516,1
517,1
518,1
519,1
520,0
521,0
522,0
523,0
524,10
525,10
526,10
527,10
528,5
529,5
530,5
531,5
532,3
533,3
534,3
535,3
536,3
537,3
538,3
539,3
540,7
541,7
542,7
543,7
544,4
545,4
546,4
547,4
548,3
549,3
550,3
551,3
552,6
553,6
554,6
555,6
556,8
557,8
558,8
559,8
560,7
561,7
562,7
563,7
564,3
565,3
566,3
567,3
568,4
569,4
570,4
571,4
572,3
573,3
574,3
575,3
576,6
577,6
578,6
579,6
580,0
581,0
582,0
583,0
584,4
585,4
586,4
587,4
588,7
589,7
590,7
591,7
592,2
593,2
594,2
595,2
596,8
597,8
598,8
599,8
600,3
601,3
602,3
603,3
604,8
605,8
606,8
607,8
608,1
609,1
610,1
611,1
612,4
613,4
614,4
615,4
616,3
617,3
618,3
619,3
620,8
621,8
622,8
623,8
624,0
625,0
626,0
627,0
628,7
629,7
630,7
631,7
632,3
633,3
634,3
635,3
636,7
637,7
638,7
639,7
640,10
641,10
642,10
643,10
644,6
645,6
646,6
647,6
648,10
649,10
650,10
651,10
652,0
653,0
654,0
655,0
656,7
657,7
658,7
659,7
660,1
661,1
662,1
663,1
664,9
665,9
666,9
667,9
668,1
669,1
670,1
671,1
672,8
673,8
674,8
675,8
676,10
677,10
678,10
679,10
680,8
681,8
682,8
683,8
684,8
685,8
686,8
687,8
688,8
689,8
690,8
691,8
692,3
693,3
694,3
695,3
696,3
697,3
698,3
699,3
700,8
701,8
702,8
703,8
704,6
705,6
706,6
707,6
708,8
709,8
710,8
711,8
712,4
713,4
714,4
715,4
716,1
717,1
718,1
719,1
720,2
721,2
722,2
723,2
724,2
725,2
726,2
727,2
728,0
729,0
730,0
731,0
732,5
733,5
734,5
735,5
736,6
737,6
738,6
739,6
740,8
741,8
742,8
743,8
744,6
745,6
746,6
747,6
748,8
749,8
750,8
751,8
752,7
753,7
754,7
755,7
756,10
757,10
758,10
759,10
760,7
761,7
762,7
763,7
764,1
765,1
766,1
767,1
768,4
769,4
770,3
771,3
772,4
773,4
774,4
775,4
776,3
777,3
778,3
779,3
780,1
781,1
782,1
783,1
784,3
785,3
786,3
787,3
788,5
789,5
790,5
791,5
792,5
793,5
794,5
795,5
796,4
797,4
798,4
799,4
800,8
801,8
802,8
803,8
804,6
805,6
806,6
807,6
808,6
809,6
810,6
811,6
812,8
813,8
814,8
815,8
816,8
817,8
818,7
819,7
820,3
821,3
822,3
823,3
824,1
825,1
826,1
827,1
828,1
829,1
830,1
831,1
832,8
833,8
834,8
835,8
836,6
837,6
838,6
839,6
840,3
841,3
842,3
843,3
844,0
845,0
846,0
847,0
848,8
849,8
850,8
851,8
852,7
853,7
854,7
855,7
856,7
857,7
858,7
859,7
860,6
861,6
862,6
863,6
864,4
865,4
866,4
867,4
868,8
869,8
870,8
871,8
872,7
873,7
874,7
875,7
876,9
877,9
878,9
879,9
