,Num_Credit_Inquiries
0,4.0
1,4.0
2,4.0
3,4.0
4,5.0
5,5.0
6,5.0
7,5.0
8,3.0
9,3.0
10,3.0
11,3.0
12,4.0
13,4.0
14,4.0
15,7.0
16,4.0
17,5.0
18,5.0
19,5.0
20,2.0
21,2.0
22,2.0
23,2.0
24,4.0
25,4.0
26,4.0
27,4.0
28,9.0
29,9.0
30,9.0
31,9.0
32,8.0
33,8.0
34,8.0
35,8.0
36,5.0
37,5.0
38,5.0
39,5.0
40,8.0
41,8.0
42,8.0
43,8.0
44,3.0
45,3.0
46,5.0
47,5.0
48,7.0
49,7.0
50,7.0
51,7.0
52,9.0
53,9.0
54,9.0
55,9.0
56,5.0
57,5.0
58,5.0
59,5.0
60,1.0
61,1.0
62,1.0
63,1.0
64,4.0
65,4.0
66,4.0
67,4.0
68,10.0
69,10.0
70,10.0
71,10.0
72,1.0
73,1.0
74,3.0
75,3.0
76,8.0
77,8.0
78,8.0
79,8.0
80,4.0
81,4.0
82,4.0
83,4.0
84,6.0
85,6.0
86,6.0
87,6.0
88,1.0
89,1.0
90,1.0
91,1.0
92,7.0
93,7.0
94,7.0
95,7.0
96,17.0
97,17.0
98,17.0
99,17.0
100,3.0
101,3.0
102,3.0
103,3.0
104,13.0
105,13.0
106,13.0
107,13.0
108,8.0
109,8.0
110,8.0
111,8.0
112,2.0
113,2.0
114,2.0
115,2.0
116,8.0
117,8.0
118,8.0
119,8.0
120,4.0
121,4.0
122,4.0
123,4.0
124,7.0
125,7.0
126,7.0
127,7.0
128,7.0
129,7.0
130,7.0
131,7.0
132,10.0
133,10.0
134,10.0
135,10.0
136,4.0
137,4.0
138,6.0
139,6.0
140,0.0
141,0.0
142,0.0
143,0.0
144,11.0
145,11.0
146,11.0
147,11.0
148,5.0
149,5.0
150,5.0
151,5.0
152,9.0
153,9.0
154,9.0
155,9.0
156,0.0
157,0.0
158,0.0
159,0.0
160,3.0
161,3.0
162,3.0
163,3.0
164,9.0
165,9.0
166,9.0
167,13.0
168,11.0
169,11.0
170,11.0
171,11.0
172,1.0
173,1.0
174,1.0
175,1.0
176,3.0
177,3.0
178,3.0
179,3.0
180,11.0
181,11.0
182,11.0
183,15.0
184,11.0
