,Num_of_Delayed_Payment
0,4.0
1,4.0
2,4.0
3,4.0
4,1.0
5,1.0
6,1.0
7,1.0
8,6.0
9,6.0
10,6.0
11,6.0
12,6.0
13,6.0
14,6.0
15,6.0
16,15.0
17,15.0
18,15.0
19,15.0
20,7.0
21,7.0
22,7.0
23,7.0
24,2.0
25,2.0
26,2.0
27,2.0
28,14.0
29,17.0
30,15.0
31,14.0
32,11.0
33,11.0
34,11.0
35,11.0
36,0.0
37,3.0
38,2.0
39,0.0
40,20.0
41,20.0
42,20.0
43,20.0
44,2.0
45,2.0
46,2.0
47,2.0
48,8.0
49,10.0
50,8.0
51,10.0
52,9.0
53,9.0
54,9.0
55,9.0
56,10.0
57,10.0
58,10.0
59,10.0
60,14.0
61,14.0
62,14.0
63,14.0
64,11.0
65,11.0
66,11.0
67,11.0
68,12.0
69,12.0
70,12.0
71,12.0
72,8.0
73,8.0
74,8.0
75,8.0
76,19.0
77,19.0
78,19.0
79,19.0
80,12.0
81,12.0
82,12.0
83,12.0
84,21.0
85,21.0
86,21.0
87,21.0
88,6.0
89,6.0
90,6.0
91,6.0
92,19.0
93,19.0
94,19.0
95,19.0
96,21.0
97,21.0
98,21.0
99,21.0
100,14.0
101,14.0
102,14.0
103,14.0
104,9.0
105,9.0
106,9.0
107,9.0
108,8.0
109,8.0
110,8.0
111,8.0
112,12.0
113,12.0
114,12.0
115,12.0
116,16.0
117,16.0
118,16.0
119,16.0
120,3.0
121,6.0
122,5.0
123,9.0
124,21.0
125,21.0
126,21.0
127,21.0
128,17.0
129,16.0
130,17.0
131,14.0
132,20.0
133,20.0
134,20.0
135,20.0
136,10.0
137,10.0
138,10.0
139,10.0
140,8.0
141,8.0
142,8.0
143,8.0
144,21.0
145,21.0
146,21.0
147,21.0
148,19.0
149,19.0
150,19.0
151,19.0
152,20.0
153,20.0
154,20.0
155,20.0
156,15.0
157,15.0
158,15.0
159,15.0
160,14.0
161,14.0
162,14.0
163,14.0
164,20.0
165,20.0
166,20.0
167,20.0
168,10.0
169,10.0
170,10.0
171,10.0
172,6.0
173,6.0
174,4.0
175,6.0
176,7.0
177,7.0
178,7.0
179,7.0
180,21.0
181,18.0
182,16.0
183,20.0
184,24.0
