,Occupation
0,Scientist
1,Scientist
2,Scientist
3,Scientist
4,Teacher
5,Teacher
6,Teacher
7,Teacher
8,Engineer
9,Engineer
10,Engineer
11,Engineer
12,Entrepreneur
13,Entrepreneur
14,Entrepreneur
15,Entrepreneur
16,Developer
17,Developer
18,Developer
19,Developer
20,Lawyer
21,Lawyer
22,Lawyer
23,Lawyer
24,Lawyer
25,Lawyer
26,Lawyer
27,Lawyer
28,Media_Manager
29,Media_Manager
30,Media_Manager
31,Media_Manager
32,Doctor
33,Doctor
34,Doctor
35,Doctor
36,Journalist
37,Journalist
38,Journalist
39,Journalist
40,Teacher
41,Teacher
42,Teacher
43,Teacher
44,Engineer
45,Engineer
46,Engineer
47,Engineer
48,Entrepreneur
49,Entrepreneur
50,Entrepreneur
51,Entrepreneur
52,Manager
53,Manager
54,Manager
55,Manager
56,Entrepreneur
57,Entrepreneur
58,Entrepreneur
59,Entrepreneur
60,Scientist
61,Scientist
62,Scientist
63,Scientist
64,Accountant
65,Accountant
66,Accountant
67,Accountant
68,Teacher
69,Teacher
70,Teacher
71,Teacher
72,Musician
73,Musician
74,Musician
75,Musician
76,Entrepreneur
77,Entrepreneur
78,Entrepreneur
79,Entrepreneur
80,Musician
81,Musician
82,Musician
83,Musician
84,Media_Manager
85,Media_Manager
86,Media_Manager
87,Media_Manager
88,Entrepreneur
89,Entrepreneur
90,Entrepreneur
91,Entrepreneur
92,Lawyer
93,Lawyer
94,Lawyer
95,Lawyer
96,Mechanic
97,Mechanic
98,Mechanic
99,Mechanic
100,Entrepreneur
101,Entrepreneur
102,Entrepreneur
103,Entrepreneur
104,Writer
105,Writer
106,Writer
107,Writer
108,Accountant
109,Accountant
110,Accountant
111,Accountant
112,Architect
113,Architect
114,Architect
115,Architect
116,Manager
117,Manager
118,Manager
119,Manager
120,Scientist
121,Scientist
122,Scientist
123,Scientist
124,Musician
125,Musician
126,Musician
127,Musician
128,Engineer
129,Engineer
130,Engineer
131,Engineer
132,Writer
133,Writer
134,Writer
135,Writer
136,Scientist
137,Scientist
138,Scientist
139,Scientist
140,Manager
141,Manager
142,Manager
143,Manager
144,Mechanic
145,Mechanic
146,Mechanic
147,Mechanic
148,Engineer
149,Engineer
150,Engineer
151,Engineer
152,Musician
153,Musician
154,Musician
155,Musician
156,Developer
157,Developer
158,Developer
159,Developer
160,Media_Manager
161,Media_Manager
162,Media_Manager
163,Media_Manager
164,Accountant
165,Accountant
166,Accountant
167,Accountant
168,Architect
169,Architect
170,Architect
171,Architect
172,Lawyer
173,Lawyer
174,Lawyer
175,Lawyer
176,Musician
177,Musician
178,Musician
179,Musician
180,Entrepreneur
181,Entrepreneur
182,Entrepreneur
183,Entrepreneur
184,Architect
185,Architect
186,Architect
187,Architect
188,Teacher
189,Teacher
190,Teacher
191,Teacher
192,Lawyer
193,Lawyer
194,Lawyer
195,Lawyer
196,Doctor
197,Doctor
198,Doctor
199,Doctor
200,Manager
201,Manager
202,Manager
203,Manager
204,Developer
205,Developer
206,Developer
207,Developer
208,Developer
209,Developer
210,Developer
211,Developer
212,Developer
213,Developer
214,Developer
215,Developer
216,Writer
217,Writer
218,Writer
219,Writer
220,Entrepreneur
221,Entrepreneur
222,Entrepreneur
223,Entrepreneur
224,Doctor
225,Doctor
226,Doctor
227,Doctor
228,Scientist
229,Scientist
230,Scientist
231,Scientist
232,Musician
233,Musician
234,Musician
235,Musician
236,Journalist
237,Journalist
238,Journalist
239,Journalist
240,Media_Manager
241,Media_Manager
242,Media_Manager
243,Media_Manager
244,Lawyer
245,Lawyer
246,Lawyer
247,Lawyer
248,Musician
249,Musician
250,Musician
251,Musician
252,Entrepreneur
253,Entrepreneur
254,Entrepreneur
255,Entrepreneur
256,Scientist
257,Scientist
258,Scientist
259,Scientist
260,Musician
261,Musician
262,Musician
263,Musician
264,Media_Manager
265,Media_Manager
266,Media_Manager
267,Media_Manager
268,Entrepreneur
269,Entrepreneur
270,Entrepreneur
271,Entrepreneur
272,Architect
273,Architect
274,Architect
275,Architect
276,Doctor
277,Doctor
278,Doctor
279,Doctor
280,Scientist
281,Scientist
282,Scientist
283,Scientist
284,Engineer
285,Engineer
286,Engineer
287,Engineer
288,Mechanic
289,Mechanic
290,Mechanic
291,Mechanic
292,Scientist
293,Scientist
294,Scientist
295,Scientist
296,Media_Manager
297,Media_Manager
298,Media_Manager
299,Media_Manager
300,Teacher
301,Teacher
302,Teacher
303,Teacher
304,Mechanic
305,Mechanic
306,Mechanic
307,Mechanic
308,Teacher
309,Teacher
310,Teacher
311,Teacher
312,Architect
313,Architect
314,Architect
315,Architect
316,Accountant
317,Accountant
318,Accountant
319,Accountant
320,Accountant
321,Accountant
322,Accountant
323,Accountant
324,Teacher
325,Teacher
326,Teacher
327,Teacher
328,Journalist
329,Journalist
330,Journalist
331,Journalist
332,Journalist
333,Journalist
334,Journalist
335,Journalist
336,Writer
337,Writer
338,Writer
339,Writer
