,Outstanding_Debt
0,809.98
1,809.98
2,809.98
3,809.98
4,605.03
5,605.03
6,605.03
7,605.03
8,1303.01
9,1303.01
10,1303.01
11,1303.01
12,632.46
13,632.46
14,632.46
15,632.46
16,943.86
17,943.86
18,943.86
19,943.86
20,548.2
21,548.2
22,548.2
23,548.2
24,352.16
25,352.16
26,352.16
27,352.16
28,1704.18
29,1704.18
30,1704.18
31,1704.18
32,1377.74
33,1377.74
34,1377.74
35,1377.74
36,421.43
37,421.43
38,421.43
39,421.43
40,1328.93
41,1328.93
42,1328.93
43,1328.93
44,950.36
45,950.36
46,950.36
47,950.36
48,179.22
49,179.22
50,179.22
51,179.22
52,2602.69
53,2602.69
54,2602.69
55,2602.69
56,758.44
57,758.44
58,758.44
59,758.44
60,818.22
61,818.22
62,818.22
63,818.22
64,1296.64
65,1296.64
66,1296.64
67,1296.64
68,1283.37
69,1283.37
70,1283.37
71,1283.37
72,107.41
73,107.41
74,107.41
75,107.41
76,2430.21
77,2430.21
78,2430.21
79,2430.21
80,881.4
81,881.4
82,881.4
83,881.4
84,1672.43
85,1672.43
86,1672.43
87,1672.43
88,76.23
89,76.23
90,76.23
91,76.23
92,569.8
93,569.8
94,569.8
95,569.8
96,3532.83
97,3532.83
98,3532.83
99,3532.83
100,614.6
101,614.6
102,614.6
103,614.6
104,2686.81
105,2686.81
106,2686.81
107,2686.81
108,1233.1
109,1233.1
110,1233.1
111,1233.1
112,400.07
113,400.07
114,400.07
115,400.07
116,2258.73
117,2258.73
118,2258.73
119,2258.73
120,413.32
121,413.32
122,413.32
123,413.32
124,1793.54
125,1793.54
126,1793.54
127,1793.54
128,1489.49
129,1489.49
130,1489.49
131,1489.49
132,98.97
133,98.97
134,98.97
135,98.97
136,556.91
137,556.91
138,556.91
139,556.91
140,1293.02
141,1293.02
142,1293.02
143,1293.02
144,3421.66
145,3421.66
146,3421.66
147,3421.66
148,1173.7
149,1173.7
150,1173.7
151,1173.7
152,1693.95
153,1693.95
154,1693.95
155,1693.95
156,233.79
157,233.79
158,233.79
159,233.79
160,602.5
161,602.5
162,602.5
163,602.5
164,3470.08
165,3470.08
166,3470.08
167,3470.08
168,749.95
169,749.95
170,749.95
171,749.95
172,949.38
173,949.38
174,949.38
175,949.38
176,1095.73
177,1095.73
178,1095.73
179,1095.73
180,3422.49
181,3422.49
182,3422.49
183,3422.49
184,2797.17
185,2797.17
186,2797.17
187,2797.17
188,680.77
189,680.77
190,680.77
191,680.77
192,3053.16
193,3053.16
194,3053.16
195,3053.16
196,1079.73
197,1079.73
198,1079.73
199,1079.73
200,2253.95
201,2253.95
202,2253.95
203,2253.95
204,3119.6
205,3119.6
206,3119.6
207,3119.6
208,4071.62
209,4071.62
210,4071.62
211,4071.62
212,1154.46
213,1154.46
214,1154.46
215,1154.46
216,2431.64
217,2431.64
218,2431.64
219,2431.64
220,125.25
221,125.25
222,125.25
223,125.25
224,997.28
225,997.28
226,997.28
227,997.28
228,3042.36
229,3042.36
230,3042.36
231,3042.36
232,1746.9
233,1746.9
234,1746.9
235,1746.9
236,1936.79
237,1936.79
238,1936.79
239,1936.79
240,4834.59
241,4834.59
242,4834.59
243,4834.59
244,1219.39
245,1219.39
246,1219.39
247,1219.39
248,325.93
249,325.93
250,325.93
251,325.93
252,191.09
253,191.09
254,191.09
255,191.09
256,1037.45
257,1037.45
258,1037.45
259,1037.45
260,2497.34
261,2497.34
262,2497.34
263,2497.34
264,4795.13
265,4795.13
266,4795.13
267,4795.13
268,2425.38
269,2425.38
270,2425.38
271,2425.38
272,580.31
273,580.31
274,580.31
275,580.31
276,2497.48
277,2497.48
278,2497.48
279,2497.48
280,1045.11
281,1045.11
282,1045.11
283,1045.11
284,523.56
285,523.56
286,523.56
287,523.56
288,327.88
289,327.88
290,327.88
291,327.88
292,4984.82
293,4984.82
294,4984.82
295,4984.82
296,596.78
297,596.78
298,596.78
299,596.78
300,2174.16
301,2174.16
302,2174.16
303,2174.16
304,996.54
305,996.54
306,996.54
307,996.54
308,137.15
309,137.15
310,137.15
311,137.15
312,1093.87
313,1093.87
314,1093.87
315,1093.87
316,3818.57
317,3818.57
318,3818.57
319,3818.57
320,730.9
321,730.9
322,730.9
323,730.9
324,1374.56
325,1374.56
326,1374.56
327,1374.56
328,852.81
329,852.81
330,852.81
331,852.81
332,668.14
333,668.14
334,668.14
